,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,97.76,92.37,54.2,69.24,110.5,497.71,6456.16,16242.05,17884.49,21011.4,35152.11,23131.56,88475.3,93045.92,156597.13,117203.74
e_1,45.83,113.22,50.83,86.22,120.91,362.37,7706.16,18278.47,18754.06,35295.06,33687.74,45225.29,99540.31,111225.6,146019.25,123541.97
d_1,49.71,54.77,119.56,60.68,130.98,341.51,7238.76,28054.93,14838.98,12507.54,36186.7,37869.8,90114.3,88857.15,123264.86,172615.4
c_1,42.68,43.24,60.61,134.74,193.39,381.06,6909.38,9762.52,14598.31,16099.02,23841.82,31431.92,87428.37,79493.05,135857.91,132276.5
b_1,36.63,40.49,48.55,49.11,219.35,548.69,5799.75,13158.95,11620.45,15607.95,19578.92,28867.65,71252.24,70943.28,96554.36,111787.65
a_1,21.69,30.5,35.69,37.55,53.61,598.54,3719.8,9587.03,10919.01,10957.38,19346.94,20453.86,53938.73,38627.92,77212.28,77781.85
h_1,16.92,13.45,18.21,17.27,31.16,107.84,3009.52,4449.59,5941.57,6172.46,10298.91,9354.54,19617.23,22617.96,50533.27,38494.2
c_0,11.93,10.93,10.73,13.52,20.83,91.64,1664.31,5162.54,4666.52,5484.92,12576.05,9004.62,20878.77,24375.18,29295.86,35378.33
g_1,9.06,10.31,16.13,14.63,26.45,70.16,1354.55,3313.23,6224.74,3712.71,6277.79,9682.79,14555.38,20868.41,19074.71,32220.83
d_0,9.47,8.17,10.28,23.51,25.05,75.03,1372.07,2588.38,3809.2,5793.74,7100.35,7213.22,18333.85,21237.85,32507.0,32309.62
b_0,9.4,9.19,10.56,13.83,14.04,59.61,1114.44,2465.12,3190.4,3816.37,8702.63,6567.54,17181.87,31781.51,26176.26,24464.78
f_0,7.05,6.63,11.16,13.03,21.49,68.58,1351.07,2974.75,2816.23,3515.9,5141.56,9240.49,14428.71,17494.57,19796.93,49731.21
h_0,8.33,6.86,7.67,8.93,14.56,46.03,756.27,2206.36,3345.66,2533.12,4187.95,4600.65,9812.92,12117.5,20280.41,16141.76
a_0,6.07,6.2,8.81,9.09,17.04,32.06,993.52,2039.03,1929.26,2726.37,3308.0,4577.73,12227.05,18761.26,16631.37,21930.65
g_0,4.95,5.66,9.34,8.3,14.06,36.92,722.96,2080.1,2028.83,2216.66,3849.51,6215.87,9846.85,9939.78,13322.73,20777.22
e_0,6.06,4.88,6.62,8.55,14.14,41.73,734.6,1966.81,1538.85,2121.97,3326.23,3279.47,11001.7,9467.56,14721.55,26801.17
