,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,0.58,0.98,1.0,1.03,0.94,0.28,0.29,0.21,0.17,0.25,0.2,0.13,0.18,0.25,0.18
f_1,0.81,0.42,0.92,1.0,0.98,0.75,0.2,0.29,0.19,0.18,0.24,0.19,0.1,0.18,0.16,0.14
d_1,1.23,1.08,0.4,0.89,0.88,0.86,0.24,0.18,0.31,0.19,0.19,0.2,0.12,0.19,0.15,0.08
c_1,0.81,0.94,1.17,0.4,1.0,0.97,0.25,0.26,0.12,0.25,0.19,0.18,0.14,0.19,0.2,0.14
b_1,0.98,1.25,0.96,0.64,0.39,0.95,0.3,0.26,0.21,0.25,0.19,0.25,0.14,0.19,0.21,0.13
a_1,1.34,1.45,1.26,1.21,0.67,0.33,0.36,0.42,0.26,0.23,0.24,0.4,0.2,0.43,0.24,0.16
h_1,1.65,1.79,1.61,1.81,1.67,1.55,0.29,0.44,0.42,0.3,0.33,0.38,0.32,0.35,0.29,0.28
g_1,1.92,2.18,1.78,2.05,1.77,1.55,0.45,0.27,0.42,0.37,0.38,0.36,0.2,0.34,0.34,0.32
d_0,1.3,1.83,2.97,2.08,2.08,2.04,0.62,0.62,0.3,0.38,0.47,0.4,0.3,0.37,0.42,0.41
c_0,2.46,2.18,1.3,3.15,2.28,1.71,0.66,0.59,0.6,0.29,0.55,0.43,0.33,0.45,0.35,0.3
f_0,2.24,2.76,1.97,2.29,1.93,1.81,0.6,0.39,0.47,0.4,0.27,0.47,0.31,0.39,0.45,0.21
b_0,2.09,2.19,1.72,3.04,2.39,2.03,0.61,0.76,0.54,0.24,0.53,0.28,0.3,0.42,0.39,0.3
h_0,2.32,2.41,2.32,2.42,2.45,1.95,0.83,0.74,0.56,0.48,0.47,0.48,0.46,0.54,0.43,0.37
a_0,2.6,2.77,2.31,2.5,3.1,3.05,0.78,0.78,0.53,0.45,0.52,0.27,0.32,0.27,0.5,0.41
e_0,4.09,3.17,2.57,2.95,2.28,2.01,0.63,0.58,0.71,0.54,0.33,0.57,0.45,0.46,0.26,0.3
g_0,2.81,3.13,2.67,2.79,2.57,2.82,0.54,0.85,0.63,0.52,0.47,0.56,0.32,0.47,0.52,0.48
