,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,1.05,0.93,0.98,0.94,0.97,0.99,0.86,1.23,1.04,1.06,0.99,1.01,0.98,0.86
e_1,0.93,1.0,0.83,1.11,1.05,1.05,1.04,1.31,1.1,0.94,1.09,1.01,1.08,0.97,1.08,1.03
f_1,0.94,1.19,1.0,1.02,0.97,0.94,0.85,1.02,1.09,0.89,0.94,0.91,0.87,0.95,0.76,0.93
c_1,1.08,0.89,0.99,1.0,1.24,0.99,1.0,0.76,0.96,0.86,0.91,0.81,1.01,0.93,0.94,1.11
b_1,1.05,0.96,1.03,0.81,1.0,1.29,1.13,0.88,0.98,1.17,0.97,1.21,1.0,0.95,1.01,1.1
a_1,1.04,0.92,1.06,1.01,0.77,1.0,1.15,1.06,1.18,1.12,1.06,1.19,1.14,1.11,1.17,1.01
h_1,1.01,0.96,1.17,1.02,0.85,0.85,1.0,0.98,1.18,0.89,0.95,0.98,1.01,1.03,0.93,1.1
d_0,0.98,0.79,0.96,1.3,1.14,0.94,1.03,1.0,1.01,0.84,0.98,0.93,1.02,0.92,1.05,1.09
g_1,1.17,0.91,0.95,1.02,1.01,0.85,0.88,1.02,1.0,1.01,1.13,1.01,0.93,1.12,1.14,1.04
c_0,0.84,1.09,1.09,1.14,0.86,0.86,1.12,1.22,0.98,1.0,1.05,1.44,1.1,1.19,1.11,1.11
f_0,0.97,0.91,1.11,1.05,1.05,0.99,1.0,0.99,0.88,0.96,1.0,0.97,1.02,0.95,1.36,0.84
b_0,0.93,0.96,1.07,1.23,0.87,0.86,1.02,1.11,0.97,0.73,1.02,1.0,1.03,1.45,1.16,1.03
h_0,1.03,0.97,1.16,0.95,0.94,0.86,0.99,1.01,1.05,0.91,0.96,0.93,1.0,0.96,0.95,1.08
a_0,0.98,1.03,1.08,1.05,1.0,0.86,1.02,1.07,0.91,0.92,0.99,0.7,1.02,1.0,1.05,1.01
e_0,1.0,0.92,1.31,1.03,0.95,0.84,1.07,0.94,0.88,0.95,0.74,0.96,1.01,0.99,1.0,1.02
g_0,1.16,0.94,1.06,0.93,0.9,0.95,0.9,0.93,0.98,0.96,1.2,1.02,0.89,1.0,1.0,1.0
