,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.24,0.24,0.14,0.15,0.09,0.16,0.32,0.14,0.16,0.09,0.12,0.16,0.11,0.04,0.12
f_1,0.38,0.89,0.18,0.16,0.14,0.08,0.14,0.15,0.13,0.1,0.09,0.04,0.13,0.11,0.07,0.11
c_1,0.19,0.19,0.89,0.18,0.29,0.1,0.17,0.16,0.04,0.07,0.08,0.09,0.13,0.08,0.12,0.13
d_1,0.22,0.22,0.11,0.89,0.14,0.11,0.17,0.07,0.3,0.19,0.13,0.14,0.17,0.1,0.11,0.15
b_1,0.16,0.22,0.2,0.18,0.88,0.21,0.14,0.19,0.14,0.05,0.07,0.12,0.14,0.09,0.09,0.1
a_1,0.17,0.24,0.2,0.18,0.13,0.88,0.17,0.19,0.2,0.15,0.1,0.12,0.21,0.04,0.12,0.11
h_1,0.23,0.36,0.24,0.2,0.16,0.12,0.55,0.15,0.19,0.17,0.16,0.16,0.08,0.1,0.12,0.19
d_0,0.28,0.22,0.47,0.09,0.18,0.1,0.2,0.43,0.14,0.17,0.12,0.15,0.17,0.12,0.11,0.17
c_0,0.3,0.28,0.11,0.24,0.16,0.12,0.2,0.21,0.42,0.31,0.14,0.17,0.21,0.14,0.13,0.14
b_0,0.33,0.31,0.24,0.18,0.07,0.08,0.21,0.25,0.23,0.42,0.14,0.14,0.21,0.29,0.12,0.18
g_1,0.23,0.25,0.2,0.29,0.17,0.11,0.24,0.15,0.22,0.18,0.53,0.22,0.17,0.14,0.13,0.08
f_0,0.18,0.18,0.25,0.26,0.15,0.12,0.23,0.24,0.2,0.19,0.19,0.45,0.24,0.12,0.3,0.19
h_0,0.23,0.35,0.24,0.24,0.16,0.13,0.12,0.19,0.21,0.17,0.21,0.14,0.13,0.11,0.13,0.2
a_0,0.29,0.27,0.26,0.22,0.14,0.05,0.22,0.25,0.19,0.17,0.18,0.17,0.2,0.39,0.15,0.18
e_0,0.13,0.31,0.21,0.29,0.17,0.13,0.2,0.17,0.21,0.16,0.18,0.16,0.24,0.13,0.39,0.18
g_0,0.18,0.22,0.25,0.36,0.2,0.11,0.21,0.18,0.21,0.15,0.07,0.26,0.2,0.11,0.13,0.11
