,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.85,0.96,0.94,0.64,0.39,0.45,0.4,0.4,0.35,0.33,0.29,0.32,0.23,0.31
e_1,0.83,1.0,0.91,1.09,0.97,0.76,0.5,0.58,0.39,0.42,0.38,0.39,0.36,0.35,0.36,0.33
d_1,1.17,1.12,1.0,0.94,0.88,0.76,0.45,0.42,0.57,0.32,0.44,0.37,0.36,0.31,0.33,0.26
c_1,1.06,0.91,1.05,1.0,1.27,0.82,0.5,0.33,0.46,0.44,0.33,0.38,0.34,0.3,0.33,0.31
b_1,1.05,1.03,1.12,0.8,1.0,1.16,0.56,0.45,0.49,0.49,0.46,0.38,0.39,0.29,0.3,0.34
a_1,1.55,1.34,1.31,1.22,0.87,1.0,0.73,0.66,0.56,0.62,0.64,0.53,0.5,0.45,0.43,0.45
h_1,2.57,2.01,2.17,2.02,1.71,1.45,1.0,0.89,0.86,0.99,0.8,0.72,0.7,0.65,0.66,0.71
d_0,2.16,1.76,2.35,3.04,2.24,1.5,1.11,1.0,0.81,0.97,0.83,0.9,0.77,0.65,0.78,0.7
c_0,2.52,2.56,1.8,2.23,1.95,1.64,1.14,1.36,1.0,0.99,1.27,0.8,0.8,0.79,0.72,0.71
g_1,2.47,2.3,2.99,2.29,2.14,1.7,0.98,0.99,1.02,1.0,0.89,1.08,0.81,0.74,0.89,0.68
b_0,2.84,2.62,2.31,3.0,2.13,1.49,1.25,1.19,0.83,1.15,1.0,0.9,0.87,1.05,0.78,0.81
f_0,3.14,2.47,2.63,2.72,2.66,1.86,1.33,1.2,1.21,0.97,1.05,1.0,0.94,0.78,1.11,0.65
h_0,3.28,2.93,2.74,3.04,2.61,1.94,1.45,1.35,1.21,1.27,1.18,1.08,1.0,0.87,0.8,0.96
a_0,2.99,2.93,3.11,3.38,3.29,2.17,1.56,1.44,1.31,1.35,0.99,1.24,1.17,1.0,0.97,1.01
e_0,4.27,2.87,2.78,2.97,3.27,2.38,1.49,1.32,1.34,1.13,1.3,0.93,1.26,1.1,1.0,0.94
g_0,3.23,3.08,3.7,3.24,2.97,2.21,1.39,1.47,1.41,1.43,1.24,1.53,1.02,1.08,1.16,1.0
