,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.99,0.86,0.92,0.69,0.69,0.64,1.05,1.62,0.96,0.9,0.97,1.04,0.98,0.91,0.74,0.98
f_1,1.26,2.01,0.74,0.67,0.73,0.62,0.88,0.94,0.83,0.82,0.9,0.52,0.93,0.92,0.67,1.0
c_1,0.62,0.69,2.3,0.68,1.41,0.83,0.88,0.93,1.06,0.54,0.66,0.94,0.86,0.75,0.94,0.92
d_1,0.7,0.85,0.56,2.45,0.65,0.66,1.0,0.58,0.95,1.83,1.16,1.03,1.07,1.23,1.11,0.93
b_1,0.71,0.72,0.82,0.79,2.48,1.42,0.78,0.8,0.88,0.74,0.54,1.0,1.04,0.62,0.89,0.95
a_1,0.73,0.81,0.8,0.9,0.6,3.27,1.0,0.89,0.97,1.0,1.12,0.96,0.98,0.79,0.95,0.98
h_1,0.86,1.19,0.77,0.83,0.68,0.63,2.11,0.9,1.1,1.04,1.09,1.04,0.75,1.21,1.04,1.24
d_0,0.7,0.81,1.55,0.55,1.02,0.71,1.02,1.6,0.91,0.75,0.99,1.1,1.11,0.92,1.21,1.1
g_1,0.68,0.8,0.8,1.33,0.75,0.61,0.96,1.01,2.29,1.17,1.29,1.59,1.06,1.14,1.33,0.69
c_0,0.92,0.9,0.6,1.01,0.54,0.68,1.24,0.91,1.04,1.81,2.31,1.21,1.28,1.53,1.32,1.23
b_0,0.88,0.88,0.83,0.89,0.49,0.69,1.37,1.0,1.06,1.03,1.95,1.3,1.07,2.32,1.22,1.27
f_0,0.61,0.64,0.91,0.95,0.81,1.05,1.05,1.06,1.15,1.22,1.32,2.05,1.14,1.44,2.51,1.23
h_0,0.93,1.14,0.86,0.84,0.75,0.73,0.77,0.82,1.29,0.83,1.12,1.06,0.84,1.06,1.14,1.34
a_0,0.88,0.83,0.97,0.9,0.66,0.58,1.11,1.13,1.01,1.07,1.24,1.1,1.28,2.31,1.37,1.04
e_0,0.56,0.87,0.94,0.94,0.89,0.77,1.06,0.94,0.95,1.18,1.33,1.24,1.3,1.21,2.63,1.28
g_0,0.83,0.64,0.71,1.42,0.94,0.75,1.1,0.83,0.87,1.04,1.03,1.81,1.27,1.12,1.36,0.88
