,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,9408.6,1186.84,1662.44,1363.83,3203.89,14335.39,1482548.34,2954090.13,8385337.64,1526457.86,8856546.82,15640327.24,32748417.68,60416643.86,42742680.59,128198289.22
f_1,1022.86,10579.57,3057.07,1695.8,3859.9,8552.77,1317634.32,2929985.9,4924561.13,6977526.5,8510486.17,3903087.02,27263155.15,45944024.02,38629971.01,79113095.4
e_1,826.82,1053.32,18338.1,2569.69,3456.3,12766.53,1205661.85,2783497.87,4982314.2,13242249.52,8775260.4,14381144.6,30772856.06,54463311.32,15102894.03,94749675.4
c_1,917.39,1236.61,1606.35,22266.62,7007.14,15210.69,1264667.41,3514945.91,789713.49,6397597.66,4526644.12,14414103.95,25700943.17,51845912.01,51231647.11,72952803.07
b_1,1086.74,1220.77,1412.81,1974.7,49908.75,27605.31,1282906.94,3272978.2,4597909.6,7682466.14,1022012.65,11061181.98,18328372.71,40986065.99,48371452.4,79102151.85
a_1,753.14,910.66,1519.58,2564.1,5443.46,241535.43,1505072.4,2461535.73,4316274.31,6380670.46,8173402.99,15055516.9,,49167048.12,78976445.81,114556849.05
h_1,2078.81,2919.19,2733.73,2968.74,4605.9,15195.42,9121130.75,7076586.49,8428392.19,9469795.54,15713047.44,22893276.27,37802552.78,34444357.86,103131442.13,196839286.37
g_1,2731.82,1618.32,2451.34,3276.0,5296.96,23250.05,2326170.42,26539988.31,6761914.79,10134726.73,17996419.4,34555671.6,45358834.08,94352722.45,126166118.0,64794148.44
c_0,2084.75,1735.73,3867.73,1568.08,4815.78,21658.64,2211281.29,5952214.84,23723796.03,10530376.72,30879053.38,25005053.23,64410452.47,85652646.86,116919465.57,197482705.87
d_0,721.18,1935.96,3030.24,7903.62,6721.8,20960.88,2174986.05,5566528.57,5080401.34,28738241.27,13776426.55,21625072.62,55509878.61,89501756.62,92944310.62,129754969.93
b_0,2383.52,2461.67,2675.77,4643.07,2146.53,13231.89,2625573.48,5727464.92,7557354.97,11801880.22,42625718.83,23641915.74,81991050.9,83129883.61,102505977.17,134945496.2
f_0,2041.22,488.18,2749.19,3392.96,7186.81,28382.34,3140607.15,7168490.21,10793023.69,11887951.42,18086302.69,80785556.58,50495999.32,87569143.26,266485275.42,227938642.65
a_0,1726.61,2224.79,2756.84,5412.02,6613.55,,2531114.82,5910279.45,8701394.44,10073643.21,16887205.17,24161038.28,188474859.74,101584863.78,100816343.71,127712808.05
h_0,1849.52,2819.51,2860.42,3913.96,5308.26,20973.93,877112.31,7220942.57,7707340.56,10638750.02,13654566.78,21350468.52,54865750.68,33526102.15,77695706.94,182266466.34
e_0,2118.65,1668.82,1251.99,4429.88,9804.95,27136.68,2047503.38,5045214.57,7761311.28,11852955.19,15212968.42,24367382.56,49755025.42,106454484.68,426403673.47,146209404.52
g_0,3134.12,1681.03,2326.93,3773.6,4895.16,17386.72,2390610.01,2287381.49,8656611.96,10234024.66,15949778.85,38929629.22,53655236.21,97903859.55,114284916.62,68129231.86
