,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,1.0,0.94,0.94,0.88,0.87,1.0,0.99,0.91,0.96,1.02,0.86,0.98,0.76,1.01
e_1,0.8,1.0,1.26,0.94,1.06,0.82,1.06,1.33,1.38,1.03,1.03,1.16,0.98,0.99,0.96,1.11
c_1,0.99,0.8,1.0,1.18,1.29,1.04,0.97,1.01,0.74,0.69,0.9,0.89,0.99,0.96,1.09,0.96
d_1,1.06,1.07,0.85,1.0,1.06,0.87,0.99,0.83,0.92,1.29,1.15,1.03,1.11,1.03,1.11,0.78
b_1,1.07,0.94,0.77,0.94,1.0,1.52,1.07,1.04,1.11,1.22,0.89,1.03,1.02,0.9,1.03,1.13
a_1,1.13,1.2,0.96,1.15,0.67,1.0,1.2,1.02,0.88,0.91,1.09,0.93,1.05,0.8,0.91,0.88
h_1,1.17,0.94,1.04,1.0,0.91,0.8,1.0,1.13,0.96,0.92,1.02,0.86,1.2,0.94,0.95,1.28
g_1,0.98,0.75,1.03,1.22,0.97,1.03,0.9,1.0,1.0,1.0,0.98,1.36,0.82,1.31,1.08,0.94
d_0,1.02,0.7,1.41,1.05,0.92,1.11,1.03,0.99,1.0,0.82,1.05,0.97,1.1,1.02,0.96,1.16
c_0,1.13,0.99,1.28,0.77,0.85,1.05,1.1,0.99,1.19,1.0,1.33,0.97,1.14,1.16,1.15,0.99
b_0,1.07,0.99,1.17,0.87,1.1,0.88,0.98,0.98,0.94,0.71,1.0,1.05,1.15,1.36,1.1,1.21
f_0,0.99,0.81,1.19,0.95,0.96,1.05,1.11,0.75,0.99,1.06,0.94,1.0,1.14,0.92,1.52,0.98
h_0,1.19,1.0,0.97,0.95,1.02,1.03,0.84,1.22,0.9,0.87,0.85,0.92,1.0,0.97,0.8,1.11
a_0,1.06,1.04,1.11,0.96,1.1,1.11,1.07,0.76,0.92,0.86,0.71,1.08,0.97,1.0,0.75,1.0
e_0,1.34,0.99,0.94,0.87,0.91,1.06,1.05,0.95,1.07,0.86,0.89,0.72,1.32,1.28,1.0,0.96
g_0,0.96,0.92,1.09,1.2,0.88,1.16,0.79,1.06,0.85,0.93,0.83,1.06,0.9,0.99,1.01,1.0
