,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.94,0.81,1.0,0.69,0.6,1.58,1.55,1.22,2.95,1.63,1.58,2.27,1.41,0.93,2.05
f_1,1.48,2.34,0.75,0.78,0.67,0.64,1.29,1.45,1.05,1.71,1.6,0.9,2.11,1.32,0.89,1.64
d_1,0.86,0.89,2.41,0.57,0.72,0.7,1.63,3.06,1.44,1.22,1.88,1.69,2.27,1.57,1.72,2.08
c_1,0.88,0.79,0.82,2.58,1.36,0.65,1.39,0.98,1.41,1.62,1.45,1.62,1.94,1.13,1.24,1.88
b_1,0.76,0.91,0.85,0.83,2.74,1.31,1.5,1.41,1.29,1.56,0.97,1.48,2.14,1.02,1.36,1.85
a_1,0.88,0.88,0.88,0.82,0.69,3.02,1.62,1.73,1.63,1.43,1.77,1.95,2.51,1.09,1.75,2.05
h_1,0.82,1.31,1.0,0.78,0.77,0.62,3.32,1.88,1.93,1.83,1.93,1.86,1.63,1.62,1.73,2.77
c_0,0.96,1.03,1.01,0.66,0.69,0.69,1.99,3.2,1.76,2.14,3.55,2.08,2.61,2.16,1.77,2.49
g_1,0.82,0.88,1.4,0.69,0.89,0.72,1.5,2.01,3.59,1.64,1.92,2.46,1.96,1.76,1.64,1.43
d_0,0.91,0.96,0.65,1.59,0.84,0.62,1.52,1.45,1.49,2.84,1.85,1.71,2.51,1.63,1.46,2.3
b_0,0.98,1.1,1.06,0.9,0.64,0.44,1.71,1.9,1.45,1.83,3.17,1.89,2.23,3.46,1.73,2.25
f_0,0.68,0.73,1.05,0.99,0.9,0.76,1.84,2.1,1.71,2.13,2.06,3.31,2.48,2.04,3.33,2.21
h_0,1.0,1.25,1.0,0.88,0.82,0.62,1.1,1.68,1.92,1.93,2.06,1.48,1.77,1.58,1.59,2.61
a_0,0.95,1.05,1.07,1.07,0.75,0.35,1.83,2.07,1.64,2.08,1.69,1.92,2.74,3.53,1.6,2.15
e_0,0.68,1.24,0.84,0.9,0.77,0.84,1.84,2.22,1.68,2.09,2.17,2.02,2.86,1.83,3.59,2.54
g_0,0.81,0.83,1.43,1.0,0.77,0.65,1.6,1.97,1.24,1.82,2.13,2.69,2.26,1.7,1.68,1.73
