,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,1.31,1.76,1.77,3.25,19.71,27.57,29.74,43.8,36.82,46.26,67.3,72.73,103.8,134.29
f_1,1.27,1.0,1.08,1.36,1.54,3.11,17.41,25.87,24.78,27.67,36.39,32.05,48.99,63.2,63.5,110.54
d_1,0.76,0.94,1.0,1.11,1.24,2.69,16.58,16.34,29.87,26.92,29.53,32.62,49.66,63.33,72.14,76.56
c_1,0.57,0.74,0.92,1.0,1.63,2.15,14.49,19.16,16.19,16.73,23.32,26.33,44.59,43.07,67.02,74.09
b_1,0.56,0.65,0.8,0.61,1.0,2.95,13.73,15.14,21.17,20.11,21.32,25.04,45.37,40.76,61.54,64.86
a_1,0.31,0.32,0.38,0.46,0.34,1.0,7.61,7.48,9.73,10.01,14.93,13.96,24.5,25.79,32.31,33.21
h_1,0.05,0.06,0.06,0.07,0.07,0.13,1.0,1.45,1.42,1.34,1.68,2.13,2.97,3.21,3.92,6.69
g_1,0.04,0.04,0.06,0.05,0.07,0.13,0.74,1.0,1.18,1.19,1.54,2.24,2.11,2.64,3.78,3.79
c_0,0.03,0.04,0.03,0.06,0.05,0.1,0.68,0.81,1.0,1.23,1.66,1.4,2.24,2.53,3.76,3.71
d_0,0.02,0.04,0.04,0.06,0.05,0.1,0.74,0.81,0.77,1.0,1.13,1.24,2.12,1.89,2.98,3.38
b_0,0.03,0.03,0.03,0.04,0.05,0.06,0.6,0.65,0.61,0.86,1.0,1.08,1.6,2.67,2.34,2.82
f_0,0.02,0.03,0.03,0.04,0.04,0.07,0.48,0.45,0.72,0.75,0.93,1.0,1.73,1.88,3.79,2.25
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.33,0.48,0.43,0.47,0.62,0.56,1.0,1.23,1.56,1.88
a_0,0.01,0.02,0.02,0.02,0.02,0.05,0.32,0.38,0.41,0.55,0.37,0.58,0.83,1.0,1.61,1.65
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.27,0.3,0.32,0.42,0.31,0.72,0.64,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.26,0.26,0.27,0.36,0.44,0.52,0.62,0.85,1.0
