,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,36.74,0.07,0.07,0.06,0.05,0.07,0.25,0.69,0.34,0.23,0.36,0.39,0.39,0.59,,0.51
f_1,0.14,38.52,0.09,0.04,0.07,0.07,0.25,0.46,0.34,0.2,0.36,,0.44,0.76,,
c_1,0.07,0.07,40.56,0.06,0.14,0.05,0.33,0.32,,0.35,0.35,0.24,0.29,0.51,0.57,0.62
d_1,0.06,0.09,0.05,42.44,0.05,0.06,0.35,,0.72,0.34,0.34,0.37,0.32,0.66,,0.53
b_1,0.07,0.04,0.06,0.06,47.13,0.14,0.41,0.54,0.39,0.23,,0.38,0.35,0.52,,0.45
a_1,0.06,0.08,0.06,0.08,0.06,74.45,0.35,0.27,0.41,0.22,0.37,0.37,,0.67,0.47,0.46
h_1,0.21,0.31,0.19,0.36,0.31,0.38,27.5,0.94,1.17,1.65,1.06,1.83,1.37,,1.09,3.45
d_0,0.39,0.3,0.71,,0.38,0.32,1.43,15.48,1.98,1.19,2.19,1.63,1.93,3.73,1.77,2.82
c_0,0.35,0.38,,0.35,0.34,0.47,0.91,1.73,17.04,1.65,3.26,2.14,2.23,2.66,2.1,3.7
g_1,0.19,0.14,0.23,0.52,0.25,0.19,1.2,1.5,1.54,34.82,1.73,1.91,0.94,2.06,1.27,
b_0,0.29,0.32,0.26,0.35,,0.42,1.53,2.08,1.89,1.67,20.66,1.63,3.24,2.56,2.7,3.64
f_0,0.35,,0.42,0.32,0.24,0.23,1.74,2.09,2.08,1.3,1.71,22.06,2.32,2.5,4.82,2.73
a_0,0.33,0.39,0.26,0.34,0.29,,1.68,2.48,2.08,1.84,1.79,2.12,29.03,2.46,,2.35
h_0,0.47,0.9,0.57,0.46,0.57,0.44,,2.27,2.91,1.89,3.16,3.36,2.92,,3.41,7.31
e_0,,0.31,0.43,0.34,0.4,,1.27,2.54,1.91,1.5,1.83,2.22,,3.82,36.04,2.67
g_0,0.37,0.45,0.5,0.86,0.55,0.44,2.1,2.91,3.48,,3.32,4.15,,5.92,2.45,
