,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.87,1.19,0.98,0.84,0.73,1.08,1.4,1.05,0.96,0.99,1.16,1.02,0.94,1.37,1.16
f_1,1.14,1.0,1.05,1.01,1.0,1.06,0.77,0.94,1.01,0.9,1.04,0.96,0.88,0.91,0.86,1.0
c_1,0.84,0.95,1.0,1.2,1.34,0.9,1.06,0.76,1.13,0.76,0.88,0.99,1.03,0.96,0.9,1.0
d_1,1.02,0.99,0.83,1.0,1.06,0.98,1.09,1.25,0.89,1.33,0.94,0.92,1.13,1.0,0.99,0.83
b_1,1.19,1.0,0.75,0.94,1.0,1.58,0.93,0.94,0.94,0.99,0.88,1.01,1.08,1.08,1.03,0.9
a_1,1.36,0.94,1.11,1.02,0.63,1.0,1.13,0.96,1.0,1.06,1.18,0.94,1.2,1.36,0.91,1.1
h_1,0.88,1.32,0.94,0.93,1.05,0.88,1.0,0.9,1.29,0.92,0.96,0.99,0.75,0.97,0.7,1.18
d_0,0.69,1.11,1.31,0.86,1.04,0.99,1.17,1.0,1.02,0.95,1.0,0.94,0.87,0.96,1.06,0.99
g_1,0.94,0.98,0.91,1.16,1.07,0.99,0.78,0.98,1.0,1.02,1.04,1.27,0.83,1.07,1.0,1.34
c_0,1.07,1.11,1.18,0.75,1.01,0.98,1.1,1.06,0.92,1.0,1.5,1.07,1.1,0.89,1.17,1.06
b_0,0.97,1.04,1.15,1.0,1.12,0.83,1.04,0.96,0.99,0.67,1.0,1.01,1.01,1.65,1.15,0.94
f_0,0.84,1.04,1.01,1.01,1.02,1.08,1.08,1.11,0.77,0.95,1.03,1.0,0.91,0.89,1.67,0.97
h_0,0.95,1.2,0.98,0.93,0.96,0.83,1.33,1.12,1.24,0.94,1.03,1.07,1.0,0.99,0.97,1.11
a_0,1.05,1.12,1.04,1.01,0.96,,1.01,0.99,0.87,1.12,0.63,1.01,0.99,1.0,1.05,0.99
e_0,0.78,1.2,1.13,1.0,0.95,1.04,1.41,0.89,0.97,0.85,0.89,0.61,1.1,0.9,1.0,1.13
g_0,0.88,1.01,1.01,1.21,1.12,0.91,0.83,0.97,0.79,0.97,1.04,1.05,0.87,1.0,0.93,1.0
