,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.97,1.26,0.71,0.65,0.67,0.53,0.97,0.95,0.79,0.99,0.96,0.67,0.86,1.0,0.77,1.01
e_1,0.84,2.03,0.95,0.66,0.65,0.73,0.95,1.64,0.92,0.93,0.99,1.11,0.97,0.88,0.82,0.92
c_1,0.73,0.71,2.21,0.74,1.36,0.68,0.87,0.86,0.84,0.52,0.77,0.89,0.93,0.94,0.72,0.95
d_1,0.78,0.75,0.61,2.38,0.67,0.8,0.92,0.63,1.08,1.69,1.19,0.9,1.09,1.02,0.9,0.97
b_1,0.77,0.63,0.75,0.84,2.52,1.41,0.99,0.76,0.87,0.83,0.57,1.0,0.96,0.72,0.89,1.05
a_1,0.78,0.65,0.82,0.88,0.67,3.51,1.1,0.94,1.04,0.9,0.95,1.11,1.0,0.58,1.22,0.93
h_1,1.12,0.78,0.82,0.88,0.76,0.68,1.94,0.94,1.26,0.98,1.12,0.95,0.77,1.07,1.19,1.32
d_0,0.83,0.72,1.51,0.58,0.8,0.76,0.89,1.56,1.07,0.81,1.2,1.05,1.2,1.13,1.27,1.03
g_1,0.82,0.73,0.83,1.24,0.81,0.7,0.99,0.81,2.54,0.97,1.04,1.61,1.14,1.14,1.3,0.81
c_0,0.9,0.8,0.63,0.95,0.65,0.68,1.12,1.06,1.15,1.8,2.22,1.1,1.26,1.63,1.35,1.18
b_0,0.9,0.84,0.97,0.85,0.6,0.58,1.11,1.14,1.02,1.0,1.91,1.17,1.27,2.35,1.32,1.08
f_0,0.68,0.7,0.92,0.93,0.93,0.75,1.12,1.13,1.13,0.95,1.08,2.17,1.46,1.39,2.75,0.97
h_0,1.19,0.89,0.73,0.94,0.74,0.7,0.78,0.91,1.41,0.88,1.11,1.05,0.76,0.98,1.22,1.34
a_0,0.92,0.94,0.92,0.91,0.79,0.53,0.97,1.08,1.07,1.16,0.86,1.06,1.25,2.4,1.24,1.22
e_0,0.79,0.56,0.95,1.08,0.87,0.8,1.07,0.83,1.34,1.17,1.25,1.0,1.25,1.15,2.43,1.08
g_0,0.77,0.73,0.87,1.37,0.89,0.75,0.98,0.96,0.8,0.98,0.99,1.65,1.03,0.96,1.46,0.83
