,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,11.24,8.62,8.08,7.37,6.18,2.46,2.12,3.75,2.46,3.69,,1.58,1.92,2.11,1.9
e_1,6.03,1.07,9.02,9.19,6.14,9.02,3.96,2.59,3.8,3.24,2.01,2.52,1.82,2.96,,2.21
d_1,11.15,8.83,1.07,8.9,8.91,7.44,3.07,,2.53,3.86,2.54,2.25,2.49,2.65,2.57,1.21
c_1,9.1,10.1,11.78,1.07,9.69,10.64,4.54,1.69,2.74,,3.24,3.03,2.92,2.38,3.01,1.8
b_1,12.73,12.7,12.37,8.41,1.07,,4.95,4.18,3.55,3.08,,1.96,2.12,,,1.54
a_1,25.42,12.77,12.51,12.18,,1.07,4.6,6.04,,6.24,4.96,4.75,2.57,,,3.46
h_1,13.17,12.72,14.22,12.0,11.82,16.09,1.41,4.37,7.73,3.29,3.12,3.58,,2.46,2.83,3.47
d_0,14.02,10.67,,14.36,12.51,9.72,5.31,1.74,4.6,4.94,4.2,3.32,2.68,3.72,2.71,3.59
g_1,13.68,15.53,19.33,24.38,14.91,,3.81,6.86,1.41,4.89,4.04,5.11,3.6,3.62,3.7,
c_0,16.61,12.78,8.61,,18.13,10.14,5.52,5.11,5.29,1.7,4.62,3.85,3.17,3.69,3.6,4.5
b_0,14.52,24.89,16.72,17.6,,14.98,7.94,5.68,5.1,3.4,1.78,4.88,3.43,5.6,5.04,2.84
f_0,,20.04,19.59,16.23,24.49,12.99,9.01,6.5,4.61,6.07,4.31,1.82,4.58,4.21,5.1,2.58
h_0,17.11,20.31,16.84,12.35,19.88,14.02,,5.38,6.57,4.28,4.4,4.78,,5.55,4.47,4.43
a_0,32.35,22.62,17.64,24.55,,,9.83,7.11,8.61,6.56,3.82,6.91,3.93,1.75,,3.95
e_0,28.82,,21.6,24.67,,,7.97,7.39,7.22,6.41,5.25,3.44,4.1,,1.75,
g_0,25.93,19.93,27.79,25.93,23.65,13.5,5.62,5.08,,4.59,7.79,7.01,4.24,5.29,,
