,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.48,0.71,0.61,0.8,0.64,0.57,0.98,0.87,1.58,0.74,0.93,0.94,0.93,0.82,0.86,0.69
f_1,1.17,2.55,0.58,0.63,0.5,0.55,0.88,0.83,0.96,0.92,0.97,0.44,0.79,0.8,0.79,0.74
d_1,0.58,0.71,2.84,0.46,0.67,0.61,0.93,1.0,0.5,1.77,1.12,1.08,1.1,0.98,0.97,0.94
c_1,0.62,0.62,0.69,2.8,1.14,0.63,0.84,0.85,0.82,0.45,0.61,0.81,0.97,0.96,1.02,0.86
b_1,0.6,0.65,0.68,0.67,3.06,1.18,0.72,0.71,0.89,0.98,0.52,0.96,1.04,0.97,0.78,1.05
a_1,0.62,0.7,0.61,0.75,0.69,4.45,1.0,1.03,0.86,0.66,1.02,0.95,1.02,0.93,0.54,0.97
h_1,0.7,1.02,0.86,0.81,0.71,0.63,2.61,1.46,0.91,1.06,1.21,1.4,0.79,1.61,1.24,1.32
g_1,0.72,0.72,1.29,0.8,0.62,0.64,1.12,3.17,0.76,1.17,1.14,1.96,1.08,0.82,1.28,1.29
d_0,0.75,0.88,0.47,1.55,0.79,0.67,1.06,1.06,1.98,0.79,1.2,1.3,1.2,1.15,1.16,1.26
c_0,0.88,0.76,0.94,0.59,0.58,0.79,1.3,1.21,1.22,2.28,2.48,1.34,1.13,1.49,1.53,1.13
b_0,0.72,0.94,0.95,0.9,0.57,0.66,1.25,1.12,1.12,1.02,2.53,1.14,1.26,1.45,2.62,1.24
f_0,0.59,0.54,0.95,0.9,0.8,0.92,1.03,1.21,1.14,1.33,1.26,2.57,1.32,1.57,1.45,2.8
h_0,0.76,1.29,0.8,0.79,0.68,0.71,0.82,1.42,1.05,1.08,1.09,1.0,0.87,1.57,1.21,1.1
g_0,0.66,0.72,1.39,0.84,0.76,0.73,1.08,0.71,0.96,0.94,1.16,1.75,1.2,0.8,0.92,0.98
a_0,0.79,0.92,0.76,0.91,0.77,0.5,1.22,1.02,1.16,1.38,1.34,1.26,1.46,1.25,3.26,1.06
e_0,0.36,0.81,0.93,0.98,0.81,0.83,1.42,1.18,1.14,1.22,1.31,1.41,1.24,1.44,1.28,3.34
