,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,1.02,1.43,0.94,1.2,1.09,2.08,3.9,2.64,2.25,2.79,2.75,3.45,2.34,1.76,3.13
f_1,1.79,2.44,1.06,1.12,0.92,1.02,1.98,2.37,2.2,1.88,2.3,1.43,2.56,2.45,2.34,2.67
c_1,0.94,1.16,2.51,1.25,1.86,0.96,2.2,1.97,1.18,2.06,1.78,2.3,3.19,2.48,2.54,3.0
d_1,1.12,1.23,0.89,2.55,1.11,0.97,2.31,1.9,3.78,2.23,3.15,2.89,3.19,2.97,2.68,2.97
b_1,0.96,1.3,0.96,1.07,2.81,2.17,2.16,2.26,2.33,2.06,1.02,2.16,2.84,2.01,2.75,3.16
a_1,1.07,1.35,1.35,1.26,0.81,3.2,2.25,2.66,2.66,2.27,2.78,2.52,3.34,1.57,2.44,3.12
h_1,1.19,1.54,1.19,1.25,1.15,1.19,4.11,2.46,2.67,2.95,2.31,2.66,2.32,2.71,3.11,4.06
d_0,1.05,1.21,2.22,0.84,1.2,1.21,2.52,3.77,2.12,2.2,2.96,2.91,3.58,2.8,2.86,3.51
c_0,1.32,1.29,1.11,1.33,0.93,1.3,2.29,3.21,3.94,2.56,4.73,2.85,3.42,2.92,2.86,3.81
g_1,1.07,1.05,1.23,1.69,1.25,1.14,2.33,2.57,2.62,4.62,2.67,4.29,2.75,3.02,3.16,2.56
b_0,1.34,1.29,1.48,1.27,1.01,1.05,2.64,3.03,2.22,2.45,4.1,2.81,3.68,4.44,2.57,3.91
f_0,1.06,0.88,1.51,1.17,1.45,1.44,2.72,2.84,2.85,2.31,2.78,4.46,3.4,2.88,4.46,3.32
h_0,1.07,1.66,1.27,1.31,1.36,1.07,2.05,2.98,2.77,2.96,2.7,2.55,2.72,2.68,2.83,4.1
a_0,1.41,1.22,1.3,1.23,1.12,1.02,2.73,3.01,2.91,2.64,2.45,3.47,3.85,4.85,2.71,3.68
e_0,0.94,1.5,1.24,1.47,1.18,1.36,2.69,2.88,2.75,2.73,2.98,2.6,3.44,3.79,4.96,3.05
g_0,1.14,1.17,1.23,1.92,1.18,1.04,2.3,2.32,2.6,1.81,2.48,3.69,3.31,2.85,3.4,2.94
