,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.56,0.76,0.94,0.84,0.85,0.45,0.5,0.5,0.33,0.4,0.43,0.44,0.34,0.34,0.63
f_1,0.87,0.42,0.71,0.8,0.86,0.74,0.36,0.36,0.56,0.36,0.32,0.47,0.36,0.23,0.32,0.27
d_1,0.96,0.91,0.4,0.72,0.73,0.74,0.4,0.53,0.29,0.43,0.37,0.35,0.33,0.3,0.23,0.35
c_1,0.66,0.83,1.05,0.38,1.01,0.74,0.46,0.22,0.43,0.45,0.32,0.32,0.31,0.31,0.27,0.32
b_1,0.9,0.85,0.86,0.5,0.34,1.13,0.43,0.34,0.47,0.39,0.63,0.42,0.35,0.41,0.33,0.38
a_1,0.76,0.96,0.86,0.9,0.45,0.3,0.48,0.39,0.47,0.37,0.51,0.41,0.63,0.3,0.41,0.39
h_1,0.73,0.76,0.72,0.69,0.73,0.65,0.25,0.33,0.42,0.31,0.31,0.31,0.32,0.33,0.28,0.32
d_0,0.43,0.79,0.96,0.97,0.94,0.72,0.44,0.25,0.45,0.27,0.34,0.33,0.33,0.26,0.3,0.33
g_1,0.66,0.65,0.89,0.71,0.7,0.7,0.33,0.31,0.22,0.37,0.34,0.38,0.34,0.21,0.39,0.34
c_0,0.8,0.68,0.45,1.11,0.78,0.65,0.42,0.49,0.36,0.24,0.4,0.35,0.36,0.34,0.32,0.29
b_0,0.62,0.87,0.65,0.85,1.07,0.57,0.42,0.35,0.36,0.21,0.23,0.3,0.41,0.29,0.25,0.33
f_0,0.66,1.21,0.67,0.75,0.68,0.64,0.41,0.33,0.25,0.3,0.34,0.22,0.35,0.3,0.21,0.41
a_0,0.63,0.76,0.65,0.87,0.87,1.03,0.42,0.36,0.35,0.31,0.19,0.28,0.21,0.27,0.24,0.35
h_0,0.62,0.79,0.67,0.79,0.65,0.64,0.48,0.36,0.49,0.28,0.34,0.31,0.31,0.35,0.29,0.3
g_0,0.69,0.82,0.75,0.91,0.75,0.51,0.35,0.32,0.41,0.25,0.31,0.32,0.37,0.22,0.32,0.28
e_0,0.8,1.06,0.7,0.73,0.7,0.64,0.38,0.34,0.32,0.33,0.32,0.19,0.3,0.29,0.28,0.2
