,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,6.15,10.46,10.36,9.72,7.03,3.35,3.8,2.84,2.96,2.74,2.75,1.59,2.43,,1.5
f_1,10.41,1.07,9.2,9.12,7.87,7.68,2.78,3.19,2.61,2.66,2.86,,1.53,2.31,2.15,2.62
d_1,11.02,10.08,1.07,8.44,8.5,11.49,3.55,2.28,3.12,,2.98,2.35,2.52,2.13,2.6,1.45
c_1,8.62,8.87,13.27,1.07,13.35,10.38,3.87,3.02,,2.24,2.96,3.03,2.24,3.51,2.34,2.08
b_1,10.22,12.5,9.92,6.27,1.07,10.56,6.24,5.31,3.83,3.33,,2.68,2.76,,2.49,2.6
a_1,18.77,20.47,11.97,12.63,9.61,1.07,5.32,4.96,3.83,5.0,4.11,3.01,2.64,,,4.23
h_1,13.58,13.81,14.32,14.15,9.4,10.18,1.41,5.27,4.1,3.63,3.78,3.61,,4.83,2.82,4.09
g_1,13.26,24.1,17.31,18.47,14.53,17.89,3.99,1.41,5.28,6.32,4.55,4.66,2.95,3.71,3.53,
c_0,14.86,18.04,9.51,,14.88,11.65,4.68,4.8,1.74,5.36,5.18,4.1,2.96,3.84,4.17,2.4
d_0,10.35,14.97,,15.9,16.02,11.91,5.6,5.27,4.15,1.69,4.31,4.52,3.56,3.69,3.66,3.01
b_0,16.18,14.38,15.18,22.09,,17.18,5.53,6.06,2.72,4.18,1.76,3.47,3.87,5.13,3.96,2.75
f_0,17.99,,21.52,15.72,15.54,19.05,8.58,4.33,5.42,4.73,5.22,1.78,4.76,3.51,4.51,2.95
h_0,23.22,17.71,12.17,17.39,13.52,14.31,,6.27,5.15,5.36,4.92,3.81,,4.01,4.36,4.5
a_0,21.27,20.74,22.96,16.59,,,7.26,9.72,7.07,6.63,3.29,8.4,6.23,1.75,,
e_0,,20.18,24.71,22.17,25.29,,11.57,9.87,6.02,5.31,6.25,5.37,5.28,,1.76,5.73
g_0,26.46,19.91,23.88,16.29,16.5,12.58,5.86,,6.83,5.81,5.78,6.19,2.88,,5.07,
