,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.11,2.65,4.52,4.43,4.38,5.2,1.24,1.36,1.01,0.94,1.05,1.21,1.02,0.74,0.7,2.24
f_1,3.93,1.12,3.97,4.08,4.28,4.51,0.95,1.94,1.0,0.86,0.84,1.72,0.9,0.44,0.78,0.73
d_1,5.77,4.4,1.12,4.98,4.52,4.43,1.42,0.86,1.8,0.83,0.99,0.8,0.78,0.62,0.47,0.81
c_1,4.33,4.64,6.0,1.12,4.96,3.79,1.41,1.21,0.56,1.87,1.03,0.84,1.06,0.73,0.86,0.88
b_1,6.52,7.25,5.79,3.13,1.13,6.22,1.63,1.74,1.34,1.66,2.99,1.46,1.34,0.87,0.79,0.96
a_1,10.33,8.52,8.33,12.06,4.56,1.14,3.77,2.27,2.09,1.65,1.79,1.83,4.17,1.28,1.37,1.71
h_1,14.69,12.95,14.45,14.89,16.99,11.75,1.72,4.28,3.37,3.47,3.21,2.58,2.98,3.38,2.27,2.7
g_1,16.04,20.39,14.77,19.2,18.89,16.3,3.84,1.78,3.83,3.7,3.23,2.75,3.32,2.06,2.75,3.44
d_0,9.89,19.71,32.69,19.43,22.14,17.39,6.07,6.76,2.24,4.23,4.2,3.9,4.42,3.41,2.82,3.84
c_0,17.09,24.41,10.05,38.63,23.9,19.45,5.29,5.28,6.15,2.21,4.26,4.07,4.09,3.16,2.43,3.84
b_0,20.55,19.39,16.03,30.05,41.55,18.27,5.9,6.58,4.65,2.42,2.13,4.1,4.09,3.58,3.23,4.34
f_0,21.02,42.71,21.31,23.69,23.9,20.33,6.38,3.63,4.35,4.04,4.17,2.16,4.25,3.73,1.92,4.07
a_0,28.58,27.81,25.7,27.97,30.35,47.61,7.89,9.3,7.36,5.16,3.24,5.42,2.43,3.64,3.61,5.89
h_0,24.88,32.92,27.15,27.74,30.01,23.19,10.46,9.66,6.7,5.7,5.83,5.37,6.35,7.87,3.86,5.5
g_0,36.22,33.53,38.7,36.88,40.31,36.18,8.51,14.88,8.27,7.62,6.74,7.97,6.64,4.01,7.47,6.47
e_0,44.61,60.81,39.61,38.18,34.63,29.66,10.09,8.65,6.7,8.29,8.0,3.51,6.64,5.22,4.48,2.73
