,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.37,0.22,0.22,0.27,0.3,0.29,0.52,0.51,0.97,0.6,0.69,0.53,0.73,0.59,,0.89
f_1,0.49,2.38,0.31,0.31,0.24,0.23,0.56,0.48,0.63,0.47,,0.57,0.72,0.54,0.4,0.75
d_1,0.27,0.22,2.57,0.32,0.27,0.31,0.55,0.39,,1.32,0.54,0.57,0.78,0.65,0.54,0.52
c_1,0.27,0.3,0.21,2.59,0.42,0.26,0.6,0.46,0.63,,0.58,0.56,0.85,,0.66,0.64
b_1,0.26,0.29,0.28,0.25,2.71,0.47,0.5,0.69,0.48,0.78,0.71,,0.72,0.51,0.52,0.8
a_1,0.29,0.34,0.23,0.19,0.18,3.25,0.47,0.47,0.52,0.69,,0.66,1.01,,0.6,0.99
h_1,0.52,0.64,0.58,0.45,0.65,0.52,3.66,1.37,1.14,0.98,1.03,1.15,,1.29,0.99,1.8
g_1,0.43,0.59,0.88,0.53,0.36,0.57,1.02,4.12,0.99,1.03,1.81,1.23,1.23,1.2,0.92,
d_0,0.51,0.55,,0.88,0.83,0.55,1.21,1.17,3.5,1.03,1.15,1.54,1.76,1.51,1.71,1.42
c_0,0.57,0.76,0.4,,0.37,0.77,1.49,1.4,1.45,3.66,1.39,2.39,1.42,1.41,1.27,1.53
f_0,0.48,,0.73,0.65,0.52,,1.23,1.05,1.43,1.44,3.78,1.4,2.57,1.07,2.59,1.22
b_0,0.61,0.77,0.61,0.63,,0.47,1.41,1.12,1.46,0.97,1.03,3.72,1.62,2.39,1.22,2.05
h_0,0.77,0.87,0.74,0.69,0.91,0.63,,1.85,1.72,1.65,1.36,1.85,,1.5,2.06,2.42
a_0,0.68,0.6,0.65,,0.63,,1.23,1.04,1.17,1.26,1.91,1.06,2.22,4.59,,2.0
e_0,,0.73,0.68,0.69,0.71,0.74,1.37,1.54,1.35,1.43,0.93,1.22,1.46,,4.59,2.07
g_0,0.62,0.61,1.17,0.91,0.7,0.55,1.2,,1.49,1.88,2.71,1.79,1.7,1.29,1.87,
