,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.89,0.36,0.15,0.14,0.14,0.09,0.17,0.14,0.1,0.16,0.15,0.04,0.15,0.1,0.07,0.14
e_1,0.23,0.88,0.21,0.15,0.13,0.11,0.18,0.34,0.13,0.19,0.15,0.15,0.15,0.1,0.07,0.12
c_1,0.2,0.19,0.89,0.17,0.28,0.1,0.14,0.15,0.1,0.05,0.14,0.12,0.15,0.1,0.08,0.12
d_1,0.23,0.17,0.15,0.89,0.13,0.11,0.16,0.09,0.15,0.27,0.18,0.11,0.19,0.12,0.08,0.15
b_1,0.23,0.17,0.17,0.19,0.88,0.2,0.18,0.13,0.11,0.12,0.04,0.14,0.16,0.07,0.07,0.16
a_1,0.21,0.16,0.19,0.18,0.16,0.88,0.18,0.18,0.13,0.16,0.14,0.17,0.16,0.05,0.13,0.1
h_1,0.35,0.22,0.22,0.22,0.15,0.11,0.56,0.2,0.2,0.19,0.23,0.13,0.12,0.12,0.13,0.19
d_0,0.23,0.2,0.45,0.12,0.15,0.13,0.19,0.41,0.17,0.17,0.22,0.16,0.23,0.14,0.14,0.14
g_1,0.22,0.21,0.23,0.33,0.21,0.1,0.18,0.16,0.54,0.14,0.18,0.28,0.21,0.15,0.12,0.09
c_0,0.25,0.22,0.15,0.26,0.15,0.1,0.24,0.21,0.18,0.43,0.39,0.15,0.24,0.16,0.14,0.15
b_0,0.3,0.24,0.27,0.22,0.09,0.09,0.24,0.22,0.16,0.17,0.43,0.17,0.25,0.29,0.16,0.16
f_0,0.14,0.2,0.27,0.24,0.2,0.09,0.22,0.23,0.18,0.17,0.19,0.42,0.27,0.21,0.34,0.14
h_0,0.39,0.25,0.2,0.22,0.17,0.13,0.16,0.18,0.21,0.16,0.21,0.15,0.1,0.14,0.15,0.22
a_0,0.26,0.25,0.27,0.21,0.19,0.06,0.22,0.22,0.16,0.2,0.14,0.18,0.24,0.4,0.14,0.18
e_0,0.21,0.12,0.27,0.32,0.21,0.13,0.19,0.19,0.2,0.24,0.18,0.15,0.27,0.14,0.37,0.14
g_0,0.23,0.22,0.24,0.33,0.18,0.12,0.21,0.17,0.11,0.18,0.16,0.27,0.18,0.13,0.13,0.1
