,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,13502.36,8817.49,6156.36,7189.33,9700.1,33611.62,5344696.13,12608862.04,15129479.81,11250916.8,20582058.99,20678197.27,97853205.02,178915993.12,103518494.17,341427723.36
e_1,5269.97,13886.37,6754.09,9605.59,10328.29,31188.42,5453310.79,11243387.88,24783205.45,11218716.12,19651198.26,35504259.63,106934852.54,208605824.46,112999761.59,422392332.25
d_1,5686.44,4397.31,23198.78,6089.5,9638.37,29481.55,5557648.54,22703551.86,7567106.72,11005969.76,22883781.57,39377446.34,132053682.88,215222310.52,192307186.19,491860902.04
c_1,4365.44,4248.93,6899.42,25374.96,20556.72,32834.17,4695914.96,7725505.68,13128927.41,10365141.87,13101132.14,38539792.2,97807655.76,182076586.81,172554965.17,315864835.62
b_1,4761.6,4406.66,7510.85,8264.25,35185.99,74166.17,4380815.44,10424244.98,11975013.91,11236662.01,11792641.1,33422864.21,77170515.02,220143923.51,171687739.75,470837282.19
a_1,5795.47,4310.32,8235.94,8721.59,9857.03,163269.32,5646230.98,12851038.86,13802932.28,12045099.16,20194496.09,35040021.84,77453122.18,225928343.85,192978802.85,454719103.44
h_1,7225.59,5675.46,8353.28,8815.85,9690.35,34537.29,11554353.82,13470201.35,14022776.16,15329263.31,23724895.94,38452822.98,130741480.2,168544051.49,184873035.33,609010047.02
c_0,5841.15,5380.63,10041.66,6551.39,8728.8,40382.18,6235414.51,22535106.96,14031222.41,14239686.07,37972632.36,39413341.33,164139628.88,245783641.15,191000141.26,548592125.07
d_0,5194.85,5380.24,5814.74,16415.63,12963.27,33768.68,5391809.03,9149689.21,24550475.15,12639918.87,17617010.27,38514172.21,113835392.59,203117190.26,167096781.93,438210385.1
g_1,4616.89,4415.99,12682.78,9184.99,11158.85,39076.35,6098276.81,14110774.87,12079081.55,29840793.68,20876007.79,63566494.26,113295980.76,221214067.58,205533257.85,398602729.71
b_0,5524.46,5769.38,9351.86,9460.8,7520.14,34949.07,6312549.78,14491021.74,15329811.88,14581326.21,34411905.2,41467713.02,227273034.24,231489567.66,182836333.67,486288343.35
f_0,4590.51,4095.86,8883.71,10264.05,12397.92,41347.0,6201234.73,13319754.94,15012572.79,13146160.52,18705180.4,74356773.11,104899260.42,219408238.46,435965401.79,535847576.3
a_0,6573.41,5486.43,10098.58,8761.99,9352.27,32328.93,6507468.54,14292700.01,15352363.53,12865631.71,24716761.68,35141607.66,227859254.37,265105747.66,194266990.38,541714065.02
h_0,7101.14,5325.3,9011.77,9136.89,10440.5,42512.67,3656523.15,14328492.6,16033328.15,16372602.8,22526668.87,34167533.25,106634181.63,158481720.06,208764526.97,596224531.84
e_0,6227.44,3384.77,7706.81,10149.31,12155.68,44984.01,6459619.51,15323884.74,15082075.44,15235616.49,24286564.87,40287343.07,119901744.74,286393212.5,419716040.29,579939855.9
g_0,4773.75,4929.7,13251.11,8871.85,10303.9,41141.3,5978415.35,14967605.22,12687242.27,9896328.8,19769673.57,54380326.61,118482424.03,215082334.37,227743120.34,343650675.05
