,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.01,0.11,0.09,0.09,0.13,0.23,0.18,0.27,0.2,0.22,0.24,,0.22,0.39,0.34,0.48
e_1,0.05,0.01,0.07,0.1,0.1,0.14,0.15,0.18,0.19,0.26,0.2,0.35,0.24,0.34,0.31,
d_1,0.08,0.1,0.01,0.06,0.08,0.13,0.15,0.19,0.18,,0.37,0.2,0.2,0.23,0.21,0.33
c_1,0.06,0.06,0.07,0.01,0.09,0.12,0.15,,0.15,0.11,0.21,0.16,0.18,0.23,0.27,0.31
b_1,0.03,0.04,0.03,0.03,,0.09,0.08,0.1,0.08,0.08,,0.1,0.14,0.14,0.12,0.16
a_1,0.01,0.01,0.01,0.01,0.01,,0.02,0.03,,0.04,0.03,0.03,0.04,,0.03,
h_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
