,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,1.0,0.98,0.75,0.79,0.58,0.44,0.47,0.5,0.4,0.35,0.42,0.32,,0.23
f_1,1.39,1.0,0.83,1.14,0.95,0.77,0.38,0.48,0.5,0.36,0.43,,0.34,0.29,0.27,0.27
d_1,1.0,1.21,1.0,0.84,0.94,0.66,0.52,0.36,,0.61,0.46,0.34,0.36,0.34,0.36,0.3
c_1,1.02,0.88,1.19,1.0,1.48,0.71,0.58,0.52,0.38,,0.4,0.36,0.4,0.29,0.34,0.32
b_1,1.33,1.05,1.07,0.68,1.0,1.02,0.6,0.61,0.52,0.4,,0.48,0.32,0.47,0.31,0.42
a_1,1.27,1.3,1.53,1.41,0.98,1.0,0.71,0.74,0.53,0.72,0.64,0.4,,0.55,0.38,
h_1,1.74,2.63,1.91,1.73,1.68,1.4,1.0,0.97,0.97,0.86,0.89,0.82,0.73,,0.58,0.67
g_1,2.28,2.09,2.74,1.92,1.64,1.34,1.03,1.0,1.03,0.93,0.77,1.32,0.67,0.79,0.66,
d_0,2.11,2.01,,2.64,1.93,1.9,1.03,0.97,1.0,1.1,0.87,0.69,0.94,0.93,0.67,0.76
c_0,2.01,2.8,1.63,,2.53,1.39,1.16,1.08,0.91,1.0,1.27,0.87,0.8,0.87,0.97,0.8
b_0,2.51,2.32,2.19,2.51,,1.56,1.13,1.29,1.14,0.78,1.0,1.03,1.05,0.86,0.82,0.61
f_0,2.84,,2.96,2.82,2.08,2.48,1.22,0.76,1.45,1.15,0.97,1.0,0.96,1.17,1.08,0.58
a_0,2.38,2.94,2.8,2.5,3.13,,1.36,1.49,1.06,1.24,0.95,1.04,1.0,1.04,,0.89
h_0,3.14,3.43,2.96,3.48,2.15,1.81,,1.26,1.07,1.14,1.17,0.86,0.96,,0.81,0.97
e_0,,3.74,2.78,2.94,3.22,2.65,1.73,1.52,1.5,1.03,1.22,0.93,,1.23,1.0,0.82
g_0,4.26,3.64,3.34,3.1,2.35,,1.49,,1.31,1.26,1.64,1.72,1.13,1.03,1.22,
