,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,1.1,2.15,2.46,2.09,2.19,0.68,0.42,0.46,0.67,0.44,0.5,0.38,0.33,1.02,0.4
f_1,1.83,0.43,2.12,1.52,2.4,1.79,0.5,0.52,0.42,0.77,0.45,1.02,0.36,0.22,0.46,0.37
c_1,1.72,2.11,0.42,2.62,1.89,2.16,0.73,0.22,0.96,0.61,0.47,0.39,0.38,0.28,0.33,0.3
d_1,2.76,2.81,2.09,0.41,2.07,1.81,0.46,1.07,0.39,0.33,0.36,0.37,0.49,0.29,0.38,0.18
b_1,2.39,2.62,1.16,2.33,0.4,2.54,0.62,0.53,0.5,0.77,1.08,0.57,0.52,0.39,0.38,0.35
a_1,3.03,3.01,4.0,3.05,1.37,0.32,0.74,0.65,0.47,0.95,0.51,0.76,4.24,0.42,0.57,0.36
h_1,3.44,3.76,3.27,2.76,2.88,2.79,0.34,0.84,0.72,0.9,0.65,0.62,0.67,0.82,0.69,0.54
d_0,1.93,3.58,4.03,7.84,3.24,4.37,1.21,0.41,0.82,1.25,0.8,0.7,0.65,0.6,0.76,0.59
c_0,3.92,3.45,9.17,1.95,3.97,4.03,1.06,0.99,0.4,0.99,0.86,0.7,0.74,0.65,0.96,0.47
g_1,4.07,4.46,3.42,3.22,4.32,3.94,0.72,0.98,0.62,0.3,0.71,0.74,0.61,0.43,0.87,0.9
b_0,3.46,3.98,4.9,3.69,8.64,3.84,1.06,0.75,0.45,1.03,0.36,0.66,0.82,0.49,0.82,0.47
f_0,3.32,10.37,4.17,3.89,4.23,3.63,1.23,0.89,0.7,0.73,0.93,0.33,0.82,0.53,0.8,0.39
a_0,3.9,4.93,4.76,5.21,6.11,8.51,1.28,0.97,0.9,1.38,0.46,0.84,0.33,0.7,0.9,0.76
h_0,4.34,4.66,4.8,4.79,5.35,3.76,2.07,0.93,0.92,1.28,1.01,0.97,0.92,0.98,0.85,0.58
e_0,8.24,7.38,4.59,5.86,5.89,3.44,1.37,1.1,0.97,1.5,1.03,0.47,0.96,0.66,0.31,0.7
g_0,4.92,5.61,5.66,5.63,4.85,4.49,0.97,1.26,1.01,2.59,0.95,1.09,1.01,0.58,1.07,1.34
