,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.25,1.08,0.49,0.53,0.45,0.37,1.03,1.11,0.82,1.03,0.47,1.01,1.26,0.68,0.65,1.06
e_1,0.63,2.27,0.7,0.46,0.45,0.45,0.93,2.21,0.95,1.18,1.27,1.19,1.72,0.64,0.93,1.09
c_1,0.66,0.46,2.43,0.56,1.01,0.43,0.93,0.94,0.77,0.37,0.99,0.79,1.43,0.68,0.87,1.47
d_1,0.59,0.58,0.44,2.47,0.47,0.41,1.06,0.58,1.07,2.45,1.5,1.31,1.41,1.11,0.93,1.34
b_1,0.66,0.53,0.53,0.5,2.65,0.91,0.94,1.23,0.88,0.91,1.0,0.45,1.53,0.88,0.91,1.4
a_1,0.65,0.53,0.71,0.63,0.45,3.02,0.93,1.38,0.76,0.99,1.09,1.01,1.67,1.06,0.53,1.27
h_1,1.08,0.66,0.8,0.61,0.54,0.45,3.11,1.26,1.57,1.38,1.15,1.41,0.98,0.88,0.97,2.1
d_0,0.81,0.66,1.21,0.39,0.68,0.54,1.39,2.63,0.99,1.21,1.53,1.23,1.58,0.94,1.0,1.75
g_1,0.72,0.6,0.63,1.14,0.52,0.48,1.2,1.15,3.42,1.36,2.08,1.37,1.44,1.27,1.22,0.98
c_0,0.68,0.84,0.47,0.74,0.5,0.42,1.43,1.44,1.42,2.82,1.55,2.76,1.81,1.45,1.44,1.61
f_0,0.43,0.55,0.76,0.82,0.67,0.67,1.42,1.51,1.17,1.73,2.89,1.45,1.71,2.78,1.11,1.89
b_0,0.79,0.78,0.76,0.68,0.35,0.46,1.39,1.41,1.43,1.45,1.38,3.12,1.91,1.22,2.42,1.93
h_0,1.05,0.66,0.73,0.68,0.61,0.57,1.01,1.45,1.45,1.21,1.18,1.47,1.27,1.19,1.17,2.11
e_0,0.61,0.51,0.8,0.71,0.69,0.52,1.64,1.86,1.31,1.56,1.54,1.72,2.25,3.27,1.58,2.04
a_0,0.95,0.63,0.82,0.78,0.57,0.32,1.31,1.5,1.03,1.35,1.45,1.48,1.92,1.15,3.33,1.86
g_0,0.46,0.69,0.69,1.06,0.65,0.52,1.42,1.03,0.81,1.49,2.16,1.47,1.79,1.38,1.12,1.19
