,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,16.67,1.05,0.55,0.6,0.52,0.4,0.7,0.72,0.75,0.66,0.9,0.38,0.81,0.84,0.93,0.56
e_1,0.65,16.48,0.42,0.61,0.46,0.47,1.09,0.88,2.04,1.03,1.21,1.17,1.1,0.96,1.04,0.54
d_1,0.53,0.44,19.07,0.43,0.47,0.69,0.82,0.94,0.34,2.27,1.23,1.0,0.91,1.2,0.94,1.25
c_1,0.54,0.55,0.47,19.42,1.16,0.43,0.72,0.71,0.82,0.25,0.65,0.88,0.95,0.89,0.82,0.81
b_1,0.44,0.43,0.57,0.54,22.74,1.26,0.81,0.79,0.91,0.66,0.3,1.12,0.65,0.9,0.84,1.0
a_1,0.54,0.52,0.61,0.49,0.56,30.2,1.17,0.94,0.81,0.97,0.73,0.86,0.41,1.07,0.92,0.9
h_1,1.04,0.55,0.73,0.68,0.54,0.57,5.83,1.57,1.3,1.24,1.01,1.04,0.98,0.61,1.82,1.39
g_1,0.54,0.65,1.63,0.75,0.49,0.62,0.92,6.84,0.56,1.01,1.04,1.59,0.86,1.22,0.81,1.11
d_0,0.67,0.57,0.3,1.76,0.72,0.66,1.22,1.11,3.16,0.83,1.06,1.17,1.25,1.09,1.14,1.22
c_0,0.79,0.68,0.8,0.33,0.49,0.64,1.1,1.43,1.25,3.63,3.85,1.46,1.61,1.33,1.24,1.37
b_0,0.82,0.67,0.74,0.75,0.41,0.56,1.2,1.14,1.27,1.04,3.5,0.96,3.62,1.55,1.32,1.45
f_0,0.43,0.51,0.92,0.82,0.6,0.81,1.33,1.09,1.48,1.22,1.29,4.23,1.17,1.07,1.4,3.44
a_0,0.94,0.65,0.74,0.8,0.63,0.25,1.26,1.35,1.09,0.99,1.48,1.09,5.0,1.29,1.31,0.87
h_0,1.39,0.69,0.8,0.72,0.57,0.48,0.55,1.82,0.98,0.99,1.09,1.19,1.22,0.74,1.74,1.32
g_0,0.54,0.63,1.28,0.67,0.62,0.78,1.19,0.63,1.19,1.01,1.03,2.19,1.43,1.28,0.74,1.59
e_0,0.72,0.42,0.78,0.98,0.61,0.62,1.18,1.19,1.29,1.37,1.3,0.75,1.54,1.44,1.4,6.19
