,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.44,0.7,1.12,1.39,1.19,1.18,0.33,0.26,0.34,0.23,0.2,0.25,0.16,0.36,0.23,0.2
f_1,1.16,0.43,1.1,1.15,1.17,1.0,0.24,0.27,0.4,0.23,0.22,0.27,0.13,0.18,0.2,0.18
d_1,1.38,1.44,0.4,1.26,1.26,1.02,0.32,0.42,0.19,0.22,0.22,0.21,0.16,0.23,0.19,0.11
c_1,0.94,1.34,1.52,0.4,1.23,1.17,0.34,0.15,0.42,0.41,0.29,0.28,0.18,0.25,0.23,0.16
b_1,1.49,1.26,1.47,0.7,0.39,1.34,0.37,0.28,0.42,0.36,0.61,0.28,0.24,0.29,0.35,0.19
a_1,1.61,1.91,2.1,1.64,0.82,0.32,0.51,0.36,0.44,0.41,0.42,0.35,0.26,0.36,0.79,0.25
h_1,2.1,2.43,2.13,2.18,2.15,1.95,0.3,0.5,0.68,0.44,0.44,0.36,0.42,0.38,0.42,0.3
d_0,1.49,2.38,3.48,3.03,2.31,2.41,0.79,0.34,0.82,0.57,0.52,0.48,0.35,0.45,0.45,0.48
g_1,2.41,2.78,2.33,2.64,2.39,2.33,0.51,0.56,0.28,0.48,0.53,0.48,0.27,0.47,0.43,0.4
c_0,2.95,2.69,1.42,4.66,2.92,2.05,0.74,0.72,0.6,0.32,0.49,0.56,0.35,0.5,0.45,0.36
b_0,2.63,2.44,2.02,3.64,4.38,2.56,0.76,0.63,0.69,0.31,0.3,0.53,0.38,0.57,0.44,0.42
f_0,2.59,4.47,2.44,3.14,2.74,2.33,0.96,0.51,0.47,0.53,0.57,0.31,0.36,0.48,0.52,0.25
h_0,2.81,3.08,2.7,3.28,2.64,2.8,1.14,0.67,0.76,0.6,0.6,0.63,0.63,0.61,0.55,0.51
e_0,3.92,4.51,2.58,4.27,3.97,2.77,0.89,0.72,0.77,0.64,0.58,0.34,0.44,0.26,0.56,0.45
a_0,3.4,3.29,2.7,4.11,4.54,5.26,1.11,0.72,0.83,0.54,0.32,0.93,0.44,0.67,0.29,0.49
g_0,3.46,3.94,3.35,3.87,3.44,2.92,0.78,0.76,1.18,0.8,0.88,0.65,0.39,0.63,0.71,0.58
