,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.84,1.08,1.52,2.06,1.48,1.26,6.05,12.9,4.9,6.7,8.16,8.1,11.05,8.97,5.7,9.74
d_1,1.37,6.21,1.68,1.24,1.49,1.39,5.63,3.72,5.74,13.25,8.78,8.96,11.24,7.18,8.21,13.9
f_1,2.47,1.46,6.25,1.47,1.54,1.34,4.7,6.75,4.88,6.1,7.9,3.05,12.14,8.64,5.48,9.2
c_1,1.32,1.44,1.6,6.69,2.89,1.39,5.53,7.48,5.04,2.31,5.26,6.45,8.8,7.39,7.0,11.05
b_1,1.39,1.62,1.67,1.32,7.64,3.45,5.26,6.02,5.87,6.68,2.83,6.84,10.53,4.88,7.09,9.18
a_1,1.64,1.61,1.67,1.67,1.31,10.99,5.41,5.47,5.72,7.26,6.45,6.72,10.7,3.58,6.92,10.43
h_1,1.58,2.19,2.68,1.86,1.82,1.7,16.07,7.53,8.09,7.47,9.96,7.07,7.6,10.01,8.63,15.45
d_0,1.85,0.97,1.87,3.76,1.73,1.92,7.26,15.48,6.56,5.5,10.62,7.08,13.33,10.49,8.3,12.95
g_1,1.6,2.91,1.48,1.94,1.57,1.63,6.65,7.23,19.77,8.13,8.44,16.98,10.19,8.45,9.97,9.85
c_0,1.78,2.31,2.12,1.06,1.36,1.88,6.89,9.74,6.96,17.15,18.64,9.72,17.07,10.47,10.99,14.35
b_0,2.05,2.08,2.09,2.09,1.01,1.26,7.45,9.23,7.05,8.38,18.88,9.61,15.98,20.67,9.88,13.11
f_0,1.75,2.29,1.15,1.92,1.82,1.82,7.59,8.71,8.46,9.85,10.33,20.22,12.35,11.49,21.53,14.13
h_0,1.76,2.32,2.37,2.23,1.44,1.81,4.31,8.23,8.79,8.27,7.89,8.09,8.75,10.21,8.88,19.23
a_0,1.9,2.22,1.88,2.15,2.09,0.68,7.22,8.66,8.45,7.94,8.27,9.4,16.46,23.48,10.13,11.01
e_0,1.1,2.22,2.09,1.98,1.8,1.44,7.94,10.94,7.41,9.78,10.84,9.01,17.75,12.22,27.49,19.15
g_0,1.4,3.21,1.8,1.63,1.6,1.64,6.67,8.06,4.64,10.35,9.8,12.1,13.37,10.12,10.73,8.57
