,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.37,3.1,2.37,3.5,2.78,2.57,10.87,10.59,12.12,22.81,12.53,12.15,16.08,20.89,12.09,18.27
f_1,4.43,6.39,2.43,2.95,2.39,2.87,9.37,10.5,11.62,14.55,12.67,9.24,15.18,20.13,11.48,16.88
d_1,2.63,3.08,6.6,2.21,2.92,2.95,10.57,11.02,22.2,9.73,15.59,14.4,15.28,20.45,14.95,23.62
c_1,2.46,2.38,2.77,6.69,5.2,3.15,10.37,9.46,8.29,11.84,8.39,14.14,9.76,21.29,15.84,20.7
b_1,2.74,3.21,2.58,2.67,7.12,5.35,9.83,10.03,12.48,12.0,12.0,13.48,11.87,19.75,15.54,19.15
a_1,2.77,2.98,3.25,3.23,2.55,10.77,9.94,10.24,11.04,12.72,13.1,13.11,10.15,22.58,13.72,22.25
h_1,2.72,3.79,3.23,3.22,2.8,2.86,17.62,12.98,13.22,12.57,14.13,13.95,14.69,17.19,13.47,27.57
g_1,2.43,2.76,4.29,3.18,3.05,2.85,11.45,22.8,14.39,11.8,14.3,21.52,14.73,21.05,19.3,20.26
c_0,3.16,3.36,3.43,2.6,2.62,2.62,10.98,12.55,21.53,12.79,25.42,17.15,22.27,24.84,17.78,24.48
d_0,2.86,2.95,1.94,5.23,3.64,3.04,9.97,10.63,8.73,20.69,11.81,15.36,13.1,19.61,14.94,21.21
b_0,3.06,3.27,3.35,3.34,2.35,2.54,10.34,10.82,17.05,14.07,23.95,16.15,31.95,27.21,19.01,22.54
f_0,2.61,2.91,3.73,3.0,3.24,3.27,11.14,12.09,15.43,14.14,14.18,23.94,13.36,24.49,33.72,23.21
a_0,2.8,3.08,3.09,3.87,3.03,2.01,10.48,11.89,13.62,16.38,14.92,15.77,29.12,25.15,16.59,24.29
h_0,2.99,3.77,3.31,3.04,3.09,2.53,8.39,13.75,13.3,14.13,13.29,12.59,14.35,17.58,16.07,27.25
e_0,2.34,3.3,3.61,3.1,3.28,3.5,11.83,11.5,15.33,13.38,15.98,16.48,15.92,25.89,31.74,23.12
g_0,2.51,2.77,4.51,2.86,3.22,2.79,9.9,8.98,15.17,11.57,13.41,21.79,12.75,23.07,20.73,19.27
