,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.56,1.45,1.31,1.58,1.26,1.11,5.0,5.33,4.11,12.35,6.22,5.94,10.31,6.07,3.02,9.37
f_1,2.26,5.89,1.24,1.15,1.12,1.29,4.01,5.23,3.26,5.41,5.95,1.85,8.45,5.69,4.22,8.01
d_1,1.23,1.34,6.2,1.16,1.26,1.48,5.0,11.29,5.32,2.74,6.37,6.34,9.39,6.33,7.35,8.22
c_1,1.3,1.26,1.24,7.26,2.41,0.94,4.17,2.05,4.96,5.62,5.43,6.7,8.92,4.73,5.76,9.63
b_1,1.23,1.36,1.3,1.32,8.36,2.56,4.79,5.01,3.65,5.59,1.77,6.21,9.34,4.77,5.89,8.47
a_1,1.31,1.29,1.24,1.47,1.17,10.19,5.16,5.88,5.75,4.61,7.38,7.77,9.82,3.84,7.72,9.63
h_1,1.31,2.16,1.63,1.49,1.5,1.37,16.21,6.52,7.96,7.58,8.62,8.22,6.02,7.06,8.81,14.08
c_0,1.64,1.64,1.79,0.82,1.3,1.41,7.14,15.53,6.55,8.52,15.62,8.96,13.12,10.66,9.12,12.08
g_1,1.19,1.41,2.39,1.39,1.84,1.8,4.87,7.64,19.89,5.42,8.28,11.6,8.86,7.59,7.25,5.12
d_0,1.47,1.69,0.8,3.06,1.62,1.36,5.17,6.23,5.76,14.81,7.81,7.25,12.99,7.7,7.72,13.84
b_0,1.41,1.74,1.99,1.59,1.1,1.12,5.92,8.09,5.94,7.63,16.8,8.28,10.65,17.73,8.81,12.24
f_0,1.1,0.88,2.01,2.05,1.67,1.74,6.41,7.91,6.36,9.67,7.56,18.54,12.71,9.43,17.14,12.3
h_0,1.76,2.17,1.72,1.63,1.61,1.25,3.4,6.79,7.7,7.56,8.93,6.99,6.23,7.74,7.97,13.63
a_0,1.51,1.58,2.04,1.82,1.49,0.41,6.13,8.83,5.74,8.3,6.8,7.93,14.21,23.0,9.83,11.02
e_0,0.71,2.07,1.39,1.62,1.51,1.85,7.78,9.21,7.63,7.24,9.32,9.51,14.54,10.4,24.96,11.81
g_0,1.41,1.45,2.68,1.77,1.42,1.26,5.06,7.9,3.65,6.56,8.26,11.6,10.37,8.15,8.82,7.93
