,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.77,0.42,0.45,0.45,0.32,0.45,0.5,0.4,0.4,0.51,0.27,0.56,0.42,0.4,0.53
e_1,0.45,1.5,0.58,0.36,0.46,0.35,0.52,0.92,0.54,0.61,0.51,0.5,0.6,0.38,0.27,0.57
c_1,0.46,0.42,1.53,0.48,0.73,0.46,0.55,0.49,0.44,0.16,0.4,0.5,0.59,0.52,0.48,0.53
d_1,0.52,0.47,0.39,1.55,0.41,0.3,0.58,0.35,0.45,0.98,0.66,0.48,0.62,0.5,0.51,0.49
b_1,0.46,0.46,0.43,0.45,1.59,0.71,0.68,0.58,0.46,0.55,0.24,0.66,0.58,0.41,0.54,0.43
a_1,0.59,0.56,0.49,0.56,0.35,1.76,0.55,0.67,0.66,0.54,0.56,0.61,0.75,0.25,0.38,0.54
h_1,1.1,0.75,0.74,0.8,0.51,0.49,1.68,0.78,0.99,0.74,0.73,0.7,0.53,0.71,0.76,1.02
d_0,0.9,0.64,1.28,0.37,0.7,0.58,0.92,1.47,0.68,0.75,0.97,0.61,0.82,0.78,0.59,0.97
g_1,0.77,0.66,0.75,1.15,0.65,0.46,0.66,0.98,1.77,0.83,0.79,1.2,0.66,0.59,0.81,0.69
c_0,1.08,0.61,0.69,0.67,0.62,0.59,0.95,1.26,0.9,1.59,1.54,0.89,1.25,0.92,0.72,0.91
b_0,0.91,0.84,0.86,0.76,0.32,0.43,0.95,1.01,0.84,1.07,1.66,0.91,1.22,1.45,0.75,1.03
f_0,0.48,0.77,0.96,0.94,0.67,0.65,0.83,1.05,0.78,0.85,0.76,1.63,1.09,0.91,1.46,1.03
h_0,1.02,0.77,0.76,0.93,0.76,0.58,0.55,0.89,1.11,0.89,0.79,0.87,0.62,0.74,0.83,1.17
a_0,0.98,0.99,0.87,0.99,0.64,,1.05,0.9,1.09,0.85,0.68,0.87,1.03,1.67,1.04,0.92
e_0,0.92,0.36,0.89,0.89,0.92,0.54,0.99,1.13,0.97,1.03,1.04,0.74,1.12,0.88,1.69,1.19
g_0,0.87,0.66,0.94,1.13,0.78,0.64,0.77,0.74,0.48,0.8,0.73,1.19,1.09,0.79,0.8,0.67
