,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.16,0.22,0.27,0.17,0.1,0.22,0.38,0.14,0.19,0.19,0.18,0.19,0.14,0.08,0.14
d_1,0.21,0.9,0.24,0.16,0.17,0.11,0.2,0.11,0.17,0.37,0.2,0.2,0.19,0.12,0.12,0.2
f_1,0.38,0.21,0.89,0.2,0.18,0.11,0.17,0.2,0.14,0.17,0.18,0.07,0.21,0.14,0.08,0.13
c_1,0.2,0.21,0.23,0.89,0.33,0.11,0.2,0.22,0.15,0.06,0.12,0.14,0.15,0.12,0.1,0.16
b_1,0.21,0.24,0.24,0.18,0.88,0.28,0.19,0.18,0.17,0.19,0.07,0.15,0.18,0.08,0.11,0.13
a_1,0.25,0.23,0.24,0.22,0.15,0.88,0.2,0.16,0.17,0.2,0.15,0.15,0.18,0.06,0.1,0.15
h_1,0.24,0.32,0.38,0.25,0.21,0.14,0.58,0.22,0.24,0.21,0.23,0.16,0.13,0.16,0.13,0.23
d_0,0.28,0.14,0.27,0.5,0.2,0.15,0.26,0.46,0.19,0.15,0.25,0.16,0.23,0.17,0.12,0.19
g_1,0.24,0.42,0.21,0.26,0.18,0.13,0.24,0.21,0.58,0.23,0.2,0.38,0.17,0.14,0.15,0.14
c_0,0.27,0.34,0.3,0.14,0.16,0.15,0.25,0.29,0.21,0.48,0.43,0.22,0.29,0.17,0.16,0.21
b_0,0.31,0.3,0.3,0.28,0.12,0.1,0.27,0.27,0.21,0.23,0.44,0.22,0.27,0.33,0.15,0.19
f_0,0.27,0.33,0.16,0.26,0.21,0.15,0.28,0.26,0.25,0.27,0.24,0.45,0.21,0.18,0.32,0.21
h_0,0.27,0.34,0.34,0.3,0.17,0.14,0.16,0.24,0.26,0.23,0.18,0.18,0.15,0.16,0.13,0.28
a_0,0.29,0.32,0.27,0.29,0.24,0.05,0.26,0.26,0.25,0.22,0.19,0.21,0.28,0.38,0.15,0.16
e_0,0.17,0.32,0.3,0.26,0.21,0.11,0.29,0.32,0.22,0.27,0.25,0.2,0.3,0.2,0.41,0.28
g_0,0.21,0.47,0.26,0.22,0.19,0.13,0.24,0.24,0.14,0.29,0.23,0.27,0.23,0.16,0.16,0.13
