,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.75,0.88,0.69,1.04,0.8,0.6,1.02,0.87,1.55,0.88,1.04,0.92,0.95,1.13,0.68,1.01
f_1,1.26,1.73,0.79,0.8,0.7,0.71,0.98,0.87,0.96,0.91,0.92,0.66,0.93,0.91,0.66,0.92
d_1,0.78,0.85,1.93,0.65,0.7,0.85,0.94,1.17,0.65,1.68,1.26,1.06,1.02,0.97,1.22,1.01
c_1,0.69,0.81,0.8,1.99,1.43,0.78,0.88,0.9,0.88,0.55,0.61,1.02,1.01,0.88,0.98,0.91
b_1,0.76,0.87,0.87,0.73,2.12,1.56,0.91,0.8,0.89,0.93,0.75,0.96,0.98,0.8,0.93,0.92
a_1,0.85,0.9,0.88,0.77,0.64,3.17,1.02,0.99,0.92,0.99,1.07,1.02,1.07,0.72,1.18,0.91
h_1,0.83,1.12,1.0,0.81,0.82,0.72,1.83,1.15,0.83,0.96,1.05,1.01,0.78,0.9,0.91,1.34
g_1,0.74,0.8,1.25,0.87,0.81,0.75,1.0,1.93,0.91,1.07,1.24,1.5,0.97,1.06,1.26,1.08
d_0,0.84,0.84,0.66,1.45,0.98,0.66,1.09,1.03,1.43,0.54,0.77,1.1,1.04,1.06,1.07,1.04
c_0,0.93,0.94,0.96,0.8,0.64,0.73,1.02,1.16,1.04,1.48,1.89,1.16,1.11,1.44,1.12,1.13
b_0,0.88,0.95,0.95,0.94,0.71,0.62,1.14,1.19,1.06,0.97,1.61,1.05,1.11,1.99,1.02,1.12
f_0,0.72,0.7,1.0,1.02,0.98,0.78,0.93,1.11,1.04,0.98,1.1,1.88,1.36,1.05,2.31,1.2
h_0,0.8,1.07,0.99,0.93,0.81,0.71,0.83,1.32,0.94,1.03,0.96,1.08,0.89,1.14,1.02,1.48
a_0,0.86,1.04,0.91,0.97,0.78,0.51,1.21,1.09,0.97,0.96,1.06,0.99,1.11,2.06,0.98,1.0
e_0,0.64,0.74,1.01,1.03,0.94,0.87,1.05,1.09,1.08,1.12,1.13,1.24,1.21,0.98,2.18,1.22
g_0,0.75,0.71,1.36,0.87,0.85,0.73,0.96,0.95,0.8,1.06,0.96,1.62,1.07,0.96,1.54,0.92
