,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.45,1.89,1.78,1.99,1.74,1.8,0.38,0.38,0.54,0.39,0.96,0.41,0.22,0.47,0.33,0.42
e_1,1.06,0.44,2.51,2.08,2.34,2.22,0.66,0.45,0.65,0.39,0.49,0.39,0.34,0.78,0.6,0.3
c_1,2.5,1.69,0.41,2.69,2.27,1.63,0.54,0.25,0.69,0.88,0.4,0.38,0.32,0.4,0.36,0.29
d_1,2.14,2.58,2.08,0.41,2.17,1.9,0.67,1.23,0.37,0.38,0.37,0.53,0.35,0.45,0.41,0.19
b_1,2.59,2.76,1.17,2.51,0.38,2.72,0.72,0.54,0.76,0.56,0.47,1.12,0.34,0.43,0.53,0.29
a_1,3.21,2.65,2.85,3.01,1.33,0.33,0.9,0.67,0.81,0.73,0.58,0.61,0.38,0.52,1.33,0.43
h_1,3.34,3.71,3.74,3.26,3.39,3.42,0.32,0.63,0.92,0.67,0.67,0.68,0.66,0.54,0.62,0.43
d_0,3.71,1.91,4.33,8.81,3.34,2.93,1.18,0.4,1.32,0.8,0.79,0.91,0.58,0.68,0.73,1.0
g_1,4.21,3.74,4.27,3.16,3.88,4.51,0.71,0.88,0.3,0.61,0.86,0.66,0.4,0.73,0.82,0.86
c_0,4.48,3.72,9.97,1.82,4.79,4.1,1.07,0.89,1.23,0.39,0.75,0.86,0.62,0.66,0.9,0.64
f_0,10.95,3.51,4.49,2.81,4.18,3.49,1.47,0.73,0.73,0.75,0.36,0.81,0.63,0.81,0.84,0.36
b_0,4.54,3.68,6.09,2.98,8.9,4.54,1.1,0.87,1.05,0.41,0.78,0.34,0.5,0.7,0.76,0.58
h_0,4.73,3.71,4.14,4.56,4.09,3.55,2.44,0.93,1.41,0.94,0.86,0.89,0.94,0.72,0.88,0.63
e_0,7.16,6.35,6.85,3.97,5.34,4.43,1.6,1.15,1.27,0.81,0.48,0.96,0.74,0.32,0.91,0.61
a_0,6.94,4.84,5.57,4.33,5.25,6.58,1.55,1.15,1.33,0.83,1.07,0.52,0.71,0.76,0.31,0.84
g_0,6.32,5.89,4.51,4.86,4.55,4.84,1.09,0.98,2.6,1.22,0.87,0.97,0.58,0.85,0.9,1.11
