,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,21.74,40.9,27.66,28.52,29.42,9.2,10.86,5.98,6.94,7.26,8.39,6.17,4.58,,4.98
f_1,27.16,0.45,26.66,50.36,42.08,34.91,5.77,8.42,7.32,9.59,8.3,,6.15,3.04,5.78,4.44
d_1,39.36,28.74,0.44,34.55,26.55,45.11,9.52,6.35,6.82,,6.49,6.82,4.95,4.36,7.58,3.82
c_1,39.25,41.52,51.98,0.41,39.44,27.49,10.06,7.79,,3.74,8.41,7.23,7.47,4.36,8.91,5.88
b_1,36.31,30.67,33.02,21.59,0.39,41.92,13.95,12.38,9.16,7.37,,8.61,12.94,4.59,8.49,5.61
a_1,44.81,40.96,49.63,51.82,22.15,0.32,17.08,12.06,10.79,9.91,11.47,8.98,,10.09,,8.08
h_1,18.46,18.83,15.41,19.97,18.14,14.1,0.39,6.32,3.2,3.9,3.2,2.87,2.77,,2.57,2.14
g_1,24.54,23.52,17.73,19.04,20.18,25.96,3.92,0.36,3.19,3.19,3.33,5.78,4.25,2.04,3.75,
c_0,15.62,14.08,9.17,,19.36,13.49,3.99,4.14,0.49,3.4,4.13,4.05,3.51,2.52,3.91,1.35
d_0,7.61,17.56,,12.09,18.29,15.3,4.15,4.36,3.96,0.48,3.9,3.22,4.33,1.8,3.05,3.99
b_0,17.81,15.73,16.14,15.28,,15.28,3.73,6.67,1.95,3.4,0.48,2.94,4.69,2.92,3.43,2.14
f_0,19.26,,15.74,14.96,18.77,24.97,4.96,2.99,3.43,3.11,3.36,0.44,3.46,3.87,,1.5
a_0,24.52,19.49,19.68,32.88,27.57,,4.51,7.94,5.82,4.04,1.82,4.56,0.4,1.96,,2.23
h_0,16.93,13.85,15.74,12.3,10.82,12.71,,3.12,3.01,2.1,2.31,2.13,2.48,,1.99,2.41
e_0,,27.84,23.98,21.21,27.29,,5.57,5.24,4.43,4.31,3.67,,,4.02,0.35,2.98
g_0,21.21,16.86,15.71,16.25,13.48,15.43,4.58,,2.16,4.08,2.28,2.57,3.26,1.38,3.14,
