,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,13.06,12.05,10.04,13.73,19.21,2.83,5.94,2.23,2.79,2.47,,1.36,2.67,2.15,1.82
d_1,13.75,0.17,23.51,12.09,12.16,13.09,4.09,2.06,2.34,,2.7,2.51,1.48,2.67,2.62,1.22
e_1,6.33,18.99,0.16,16.51,11.83,,3.48,4.15,3.0,2.63,2.48,3.27,1.62,2.09,,1.72
c_1,10.97,18.13,12.73,0.15,12.01,10.83,3.02,3.04,,1.47,3.72,2.34,2.35,2.32,3.4,1.92
b_1,10.38,14.18,13.41,6.51,0.14,10.67,4.73,3.57,3.64,2.74,,2.5,1.66,3.74,3.5,1.89
a_1,19.21,13.09,,20.0,6.34,0.09,3.58,3.09,4.17,1.92,2.8,3.05,1.71,,2.21,
h_1,3.56,2.4,4.17,3.11,3.75,2.65,0.06,1.33,0.65,0.54,0.51,1.25,,0.75,0.58,0.63
g_1,6.73,3.15,3.97,3.5,4.11,3.27,0.69,0.06,0.63,0.7,0.7,0.76,0.34,0.69,0.58,
c_0,2.98,1.36,2.73,,3.48,2.71,0.58,0.79,0.08,0.66,0.52,0.6,0.4,0.48,0.45,0.3
d_0,3.15,,1.3,2.84,2.94,3.84,0.82,0.59,0.51,0.08,0.6,0.4,0.31,0.8,0.37,0.45
b_0,2.47,2.27,3.27,2.89,,3.4,0.83,0.76,0.38,0.37,0.07,0.49,0.4,0.89,0.5,0.28
f_0,,2.44,2.01,2.67,3.56,1.83,0.67,0.5,0.39,0.53,0.76,0.07,0.36,0.64,0.87,0.23
h_0,1.63,1.72,1.67,1.78,1.77,1.16,,0.48,0.31,0.39,0.26,0.3,,0.38,0.38,0.32
a_0,2.92,2.79,2.64,3.22,2.49,,0.71,0.83,0.57,0.6,0.29,0.51,0.67,0.05,,0.45
e_0,2.87,2.41,,3.62,2.45,2.55,0.85,0.78,0.63,0.75,0.66,0.23,0.4,,0.05,0.35
g_0,1.76,2.69,1.79,1.49,1.34,,0.31,,0.33,0.5,0.42,0.31,0.16,0.42,0.42,
