,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.5,0.89,1.12,0.71,0.89,0.72,1.07,1.55,0.88,1.0,0.86,1.0,1.07,0.89,0.76,1.11
f_1,1.33,1.5,0.89,0.87,0.8,0.58,0.82,1.1,0.89,0.87,0.76,0.64,0.93,0.93,0.73,0.94
c_1,0.8,0.94,1.56,0.98,1.33,0.71,1.04,0.9,0.67,0.69,0.79,0.79,1.06,0.76,0.92,0.93
d_1,1.06,1.01,0.69,1.59,0.78,0.75,1.12,0.86,1.69,1.22,0.88,1.05,1.16,0.97,0.95,0.97
b_1,0.9,1.01,0.84,0.94,1.62,1.38,1.05,1.14,1.04,0.87,0.83,0.96,1.13,0.81,0.91,0.92
a_1,0.96,1.22,1.04,0.94,0.69,1.77,1.21,1.17,1.35,1.24,0.95,1.05,1.51,0.89,1.06,1.25
h_1,1.13,1.58,1.14,1.16,0.98,0.81,1.81,1.14,1.26,1.28,1.36,1.28,1.09,1.06,1.09,1.5
d_0,1.06,1.12,1.9,0.92,1.14,0.9,1.45,1.73,1.0,1.2,1.18,1.17,1.38,1.05,1.21,1.46
c_0,1.38,1.35,1.04,1.07,0.95,0.89,1.29,1.47,1.77,1.99,1.31,1.38,1.57,1.34,1.08,1.35
b_0,1.38,1.39,1.47,1.08,0.85,0.67,1.44,1.52,1.34,1.86,1.29,1.22,1.51,2.21,1.19,1.55
g_1,1.23,1.24,1.19,1.53,1.06,0.88,1.43,1.19,1.3,1.29,1.99,1.67,1.27,1.19,1.11,1.28
f_0,0.99,1.28,1.37,1.36,1.1,0.99,1.49,1.43,1.42,1.42,1.34,1.91,1.66,1.21,2.2,1.33
h_0,1.28,1.63,1.25,1.33,1.09,0.88,1.34,1.36,1.35,1.42,1.61,1.27,1.33,1.24,1.16,1.74
a_0,1.36,1.38,1.4,1.27,1.02,0.76,1.62,1.63,1.34,1.12,1.42,1.38,1.44,1.86,1.36,1.56
e_0,1.01,1.52,1.2,1.55,1.18,1.02,1.48,1.34,1.58,1.43,1.55,1.15,1.83,1.35,1.88,1.5
g_0,1.16,1.25,1.38,1.76,1.22,0.93,1.41,1.24,1.49,1.25,1.1,1.99,1.49,1.22,1.25,1.32
