,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.06,2.11,1.53,2.95,2.28,2.09,1.0,0.89,0.71,0.78,0.83,0.74,0.58,0.6,1.07,0.57
d_1,2.82,1.06,2.1,2.29,2.5,1.91,0.84,0.53,0.74,1.3,0.61,0.53,0.52,0.56,0.54,0.35
f_1,2.46,2.43,1.06,2.16,2.24,1.89,0.71,0.96,0.62,0.7,0.83,0.6,0.39,0.56,0.47,0.6
c_1,1.94,2.91,2.83,1.06,2.89,1.81,0.86,1.3,1.05,0.45,0.76,0.62,0.56,0.64,0.65,0.49
b_1,2.83,2.63,2.95,1.55,1.06,2.71,1.07,1.0,0.86,0.74,0.74,1.15,0.68,0.75,0.87,0.6
a_1,3.52,3.52,4.37,3.91,1.8,1.07,1.5,1.34,1.09,1.35,1.09,1.65,0.75,1.86,0.82,0.78
h_1,5.21,5.54,6.12,6.02,5.92,5.47,1.36,2.1,1.62,1.58,1.6,1.67,2.2,1.33,1.35,1.43
g_1,7.05,7.74,5.97,6.87,6.58,5.87,2.31,1.34,2.04,2.3,1.92,1.94,1.11,1.77,1.75,2.07
c_0,7.23,4.44,7.8,10.2,9.24,7.16,2.82,2.32,1.51,3.3,1.95,2.48,1.68,2.24,2.09,1.77
d_0,4.54,12.14,7.54,8.6,7.25,5.6,3.24,3.11,2.15,1.51,2.16,2.39,1.67,2.2,2.08,1.93
f_0,7.29,7.22,14.33,7.41,8.41,6.93,3.25,2.26,2.35,2.75,1.51,2.22,1.97,2.05,2.79,1.36
b_0,7.79,8.22,9.25,11.71,13.31,6.0,3.07,2.86,1.53,2.31,2.09,1.54,2.23,2.66,2.11,1.59
h_0,9.38,10.09,12.8,9.65,7.99,8.8,4.19,4.54,3.26,2.9,2.64,2.48,2.72,2.62,2.33,2.4
a_0,12.16,8.9,10.22,11.02,12.11,12.45,4.08,4.05,2.66,3.21,2.98,1.7,2.28,1.59,2.87,2.46
e_0,13.53,9.76,15.36,9.75,9.56,7.95,3.85,3.51,3.11,3.18,1.54,2.97,2.58,2.83,1.61,2.24
g_0,11.63,11.69,10.85,9.79,10.49,10.82,3.37,5.22,3.18,3.52,3.27,3.39,1.96,2.68,3.09,3.33
