,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.46,1.24,1.35,1.06,1.23,1.2,2.46,1.73,2.11,4.11,3.05,2.92,3.21,3.04,2.85,3.21
e_1,1.07,2.47,1.13,1.51,1.25,1.34,2.55,4.31,2.52,2.47,2.77,3.0,3.75,2.92,2.22,3.25
f_1,1.21,1.85,2.51,1.21,1.01,1.27,2.0,2.55,2.41,2.48,1.65,2.4,2.58,2.62,1.9,2.64
c_1,1.27,1.15,1.27,2.56,1.88,1.01,2.22,2.31,2.12,1.58,2.55,1.99,3.51,2.51,2.48,3.76
b_1,1.25,1.15,1.22,1.11,2.8,1.98,2.53,2.29,2.15,2.65,2.53,2.08,3.0,2.13,3.04,3.72
a_1,1.29,1.2,1.09,1.28,1.14,3.21,2.81,3.03,2.84,2.94,3.29,3.22,3.82,1.87,3.6,3.32
h_1,1.37,1.24,1.88,1.39,1.22,1.11,4.11,2.79,3.58,2.54,2.69,2.79,2.94,3.14,2.87,4.09
d_0,1.12,1.12,1.39,2.28,1.55,1.35,2.65,3.85,2.39,2.15,2.78,2.83,3.4,2.38,2.71,3.53
g_1,1.99,1.24,1.2,1.29,1.35,1.15,1.93,3.01,4.56,2.71,4.07,3.16,3.74,3.51,3.44,2.45
c_0,1.24,1.38,1.58,1.2,1.09,1.17,3.09,3.56,2.77,4.11,3.15,5.81,4.02,3.46,3.61,4.2
f_0,1.43,1.2,1.25,1.52,1.5,1.28,2.65,3.08,2.72,2.82,4.3,3.17,3.9,2.95,5.26,3.1
b_0,1.46,1.29,1.65,1.66,0.81,0.94,2.68,3.29,2.53,2.18,3.17,4.33,4.27,5.59,3.4,3.25
h_0,1.5,1.25,1.95,1.28,1.27,1.17,1.99,2.87,2.96,2.57,2.83,2.89,3.1,2.67,2.94,4.13
a_0,1.54,1.34,1.57,1.35,1.25,0.99,3.01,3.2,2.36,3.1,3.72,2.45,4.1,4.86,3.36,3.71
e_0,1.66,0.9,1.65,1.47,1.3,1.25,3.05,3.27,2.46,2.88,2.52,3.05,4.06,3.55,4.99,3.82
g_0,2.0,1.17,1.42,1.22,1.16,1.27,2.44,2.55,2.5,2.7,4.45,3.39,3.63,3.13,3.0,3.21
