,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.89,1.07,0.88,0.64,0.49,0.45,0.56,0.4,0.39,0.44,0.34,0.33,0.31,0.31
f_1,1.21,1.0,0.87,0.95,0.78,0.67,0.4,0.44,0.46,0.37,0.38,0.35,0.29,0.32,0.29,0.25
d_1,1.13,1.13,1.0,0.94,0.82,0.72,0.54,0.4,0.47,0.58,0.44,0.41,0.37,0.32,0.28,0.31
c_1,0.93,1.07,1.05,1.0,1.25,0.77,0.52,0.48,0.35,0.41,0.34,0.39,0.37,0.33,0.3,0.3
b_1,1.13,1.28,1.16,0.8,1.0,1.13,0.56,0.54,0.44,0.53,0.48,0.45,0.41,0.36,0.38,0.33
a_1,1.52,1.5,1.44,1.34,0.91,1.0,0.8,0.6,0.69,0.62,0.65,0.58,0.54,0.49,0.46,0.44
h_1,2.1,2.44,1.93,1.89,1.73,1.34,1.0,1.01,0.89,0.75,0.79,0.76,0.7,0.65,0.71,0.58
g_1,2.18,2.23,2.58,2.11,1.81,1.67,1.01,1.0,0.87,0.86,0.82,1.02,0.68,0.69,0.68,0.68
d_0,1.87,2.22,2.11,2.81,2.31,1.46,1.12,1.09,1.0,0.82,0.88,0.9,0.93,0.72,0.8,0.71
c_0,2.48,2.63,1.8,2.44,1.91,1.63,1.25,1.16,1.16,1.0,1.28,0.91,0.87,0.81,0.75,0.79
b_0,2.55,2.61,2.24,3.19,2.07,1.37,1.25,1.23,1.15,0.78,1.0,1.02,0.85,1.11,0.77,0.8
f_0,2.33,2.78,2.53,2.51,2.21,1.68,1.3,0.97,1.08,1.09,0.97,1.0,0.95,0.89,0.72,1.09
h_0,2.95,3.35,2.73,2.72,2.4,1.82,1.37,1.5,1.1,1.14,1.15,1.05,1.0,0.89,1.06,0.8
a_0,2.97,3.15,2.92,3.19,2.84,2.04,1.57,1.42,1.39,1.15,0.99,1.29,1.19,1.0,0.96,0.85
g_0,3.28,3.61,3.59,3.24,2.56,2.08,1.36,1.48,1.29,1.29,1.25,1.44,0.97,1.05,1.0,0.94
e_0,3.27,4.23,3.22,3.22,2.98,2.39,1.76,1.42,1.37,1.26,1.32,0.98,1.25,1.06,0.96,1.0
