,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.65,1.03,0.81,1.03,0.81,0.77,0.65,0.62,0.99,0.64,0.61,0.53,0.52,,0.68
f_1,1.53,1.0,1.09,0.96,0.82,1.01,0.52,0.81,0.51,0.57,0.63,,0.45,0.63,0.52,0.52
d_1,0.97,0.92,1.0,1.11,0.8,0.88,0.75,1.09,0.58,,0.61,0.63,0.6,0.54,0.66,0.4
c_1,1.23,1.04,0.9,1.0,1.35,0.87,0.76,,0.79,0.41,0.69,0.72,0.61,0.6,0.59,0.64
b_1,0.97,1.21,1.25,0.74,1.0,1.24,0.94,0.62,0.56,0.73,,0.74,0.71,0.58,0.65,0.65
a_1,1.23,0.99,1.14,1.15,0.81,1.0,0.86,0.82,0.73,0.62,0.76,0.69,0.82,,,0.7
h_1,1.3,1.91,1.33,1.32,1.06,1.16,1.0,0.85,1.16,1.14,0.88,0.95,,0.77,0.63,0.91
c_0,1.53,1.24,0.92,,1.61,1.23,1.17,1.0,0.99,0.76,1.26,1.04,1.18,0.96,0.86,0.94
g_1,1.62,1.98,1.74,1.27,1.78,1.37,0.86,1.01,1.0,0.95,0.96,0.98,0.74,,0.8,
d_0,1.01,1.76,,2.44,1.38,1.62,0.88,1.32,1.05,1.0,1.13,0.77,0.97,0.7,0.85,0.94
b_0,1.56,1.59,1.65,1.45,,1.32,1.14,0.79,1.04,0.89,1.0,1.09,0.83,1.46,0.92,0.95
f_0,1.65,,1.58,1.39,1.35,1.46,1.05,0.96,1.03,1.31,0.92,1.0,0.9,0.94,1.28,0.82
h_0,1.89,2.21,1.67,1.63,1.4,1.22,,0.84,1.35,1.03,1.2,1.11,,0.68,0.8,1.01
a_0,1.91,1.6,1.85,1.67,1.74,,1.3,1.04,,1.44,0.68,1.07,1.47,1.0,1.01,0.76
e_0,,1.92,1.51,1.71,1.54,,1.58,1.16,1.26,1.17,1.08,0.78,1.25,0.99,1.0,1.01
g_0,1.46,1.94,2.52,1.56,1.53,1.44,1.1,1.07,,1.06,1.05,1.22,0.99,1.31,0.99,
