,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.45,4.18,3.9,4.45,4.23,3.36,0.81,1.2,1.12,0.84,3.45,0.92,0.42,0.75,0.72,0.79
e_1,2.43,0.44,4.67,4.38,4.02,5.23,1.43,1.31,0.92,0.83,1.16,1.09,0.66,0.95,3.86,0.61
d_1,4.36,4.86,0.44,4.53,4.32,3.94,1.24,0.91,4.77,0.78,0.71,0.71,0.6,0.75,0.91,0.36
c_1,4.92,4.6,5.01,0.41,4.81,5.03,1.29,1.44,0.48,4.12,0.85,0.88,0.69,0.91,0.82,0.73
b_1,6.23,4.41,5.93,2.53,0.38,4.97,1.55,1.56,0.95,1.17,0.99,5.44,0.85,0.98,1.07,0.72
a_1,5.9,8.49,6.81,7.57,3.03,0.32,1.55,1.32,1.08,1.74,1.58,1.59,0.92,5.18,1.25,0.87
h_1,4.86,6.3,4.99,5.71,4.08,4.27,0.35,1.48,1.06,0.97,0.85,1.11,1.83,1.21,0.81,0.69
g_1,5.95,5.0,4.95,5.37,5.92,5.81,1.23,0.34,1.19,1.27,1.09,1.12,0.56,1.71,1.16,1.67
d_0,7.37,2.75,14.52,6.38,4.21,9.13,1.49,2.08,0.45,1.43,1.16,1.08,0.77,1.25,0.83,1.41
c_0,5.84,4.82,2.8,45.26,9.14,5.75,2.12,1.84,1.45,0.42,0.93,1.35,0.92,1.4,1.19,0.81
f_0,15.77,5.14,4.83,5.33,7.58,7.12,1.95,1.31,1.08,1.25,0.39,1.14,1.12,1.22,1.14,0.68
b_0,5.14,5.42,5.45,8.6,25.04,6.33,1.88,1.74,1.19,0.56,1.38,0.38,0.8,1.54,1.07,0.73
h_0,8.43,6.41,6.16,8.37,6.94,5.74,5.12,2.26,1.84,1.43,1.21,1.24,2.37,1.41,1.22,1.37
a_0,6.76,6.87,6.24,6.94,14.85,,2.3,1.56,1.38,1.03,1.79,0.71,1.01,0.35,1.45,1.14
e_0,8.88,17.84,5.8,6.34,6.93,6.56,2.11,1.86,1.93,1.23,0.76,1.55,1.38,1.18,0.36,0.96
g_0,9.81,7.97,7.62,8.4,10.25,8.99,1.96,6.27,1.77,1.37,1.09,1.33,0.84,1.4,2.14,
