,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.78,1.01,1.14,1.07,0.96,1.18,1.08,1.34,0.83,1.05,1.07,1.04,1.04,0.96,1.29
f_1,1.28,1.0,0.88,1.01,0.88,0.93,0.89,1.01,1.0,1.08,1.02,0.93,0.75,0.95,0.9,0.91
d_1,1.0,1.14,1.0,0.83,1.01,1.0,0.97,0.85,1.2,1.25,1.07,0.95,1.11,0.79,1.0,1.0
c_1,0.87,1.0,1.2,1.0,1.31,0.9,1.02,0.94,0.7,0.86,0.71,0.91,1.06,1.06,0.98,0.87
b_1,0.93,1.14,1.0,0.77,1.0,1.29,0.88,1.06,0.98,1.32,1.06,1.07,1.13,1.06,1.02,1.08
a_1,1.04,1.08,1.0,1.1,0.76,1.0,1.16,1.22,1.03,0.79,1.09,0.98,1.03,1.04,0.96,0.92
h_1,0.87,1.11,0.99,1.04,1.04,0.85,1.0,1.09,0.91,0.9,0.96,1.18,0.99,1.2,1.0,0.97
g_1,0.95,0.97,1.17,1.02,0.96,0.84,0.94,1.0,0.82,0.95,0.91,1.27,0.88,1.06,1.14,1.06
d_0,0.74,1.02,0.88,1.46,0.99,0.96,1.1,1.18,1.0,0.82,1.06,1.09,1.05,1.05,1.0,1.07
c_0,1.13,0.96,0.79,1.16,0.76,1.19,1.16,1.04,1.22,1.0,1.74,1.07,1.04,1.21,1.01,0.93
b_0,0.92,0.98,0.99,1.32,1.03,0.92,1.05,1.11,0.95,0.64,1.0,0.96,1.07,1.11,1.38,0.98
f_0,0.85,1.15,1.02,1.12,0.93,1.02,0.82,0.82,0.97,0.95,1.11,1.0,1.19,0.99,1.22,1.46
h_0,0.97,1.36,0.91,0.98,0.9,0.89,1.01,1.18,0.96,1.02,0.94,0.84,1.0,1.21,0.94,0.94
g_0,0.98,1.04,1.3,0.99,0.97,0.97,0.82,0.93,0.94,0.83,0.93,1.06,0.86,0.99,0.88,0.84
a_0,1.05,1.11,0.94,1.02,1.02,1.13,1.0,0.9,0.99,1.02,0.73,0.84,1.09,1.15,1.0,0.89
e_0,0.77,1.13,0.99,1.12,1.01,0.94,1.09,0.95,1.01,1.01,1.01,0.71,1.08,1.11,1.1,1.0
