,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.39,0.62,0.77,0.94,0.86,0.7,1.47,1.61,1.57,2.48,1.6,1.69,2.08,1.65,0.77,2.18
f_1,1.22,2.42,0.67,0.77,0.87,0.71,1.38,1.43,1.47,1.64,1.55,0.58,1.84,1.5,1.3,1.78
d_1,0.59,0.88,2.54,0.65,0.66,0.92,1.59,1.39,2.64,0.86,1.71,1.68,2.27,1.94,1.67,2.32
c_1,0.6,0.75,0.76,2.63,1.26,0.75,1.53,1.77,0.65,1.51,1.65,1.57,2.05,1.42,2.03,1.95
b_1,0.79,0.77,0.75,0.64,2.72,1.26,1.42,1.34,2.17,2.0,0.88,1.66,2.09,1.46,1.9,1.74
a_1,0.82,0.75,0.8,0.78,0.53,3.24,1.89,1.36,1.75,1.79,2.21,1.75,2.46,1.09,1.95,1.9
h_1,1.1,1.23,0.86,1.09,0.89,0.86,3.93,2.43,2.23,1.84,2.0,2.48,1.78,2.39,1.78,3.68
g_1,0.99,0.82,1.55,0.84,0.86,0.97,1.67,4.16,1.98,1.95,2.27,3.99,2.33,1.55,2.19,1.59
c_0,1.08,1.29,1.01,0.76,0.8,0.94,2.13,1.88,3.67,2.25,3.41,2.69,2.99,2.47,2.57,2.83
d_0,0.87,1.28,0.6,1.69,0.84,0.95,2.05,1.96,1.69,3.61,2.1,2.31,3.18,1.97,2.31,2.67
b_0,1.12,1.06,1.2,0.98,0.64,0.72,2.08,1.96,1.96,2.64,3.99,2.39,2.53,3.96,1.75,2.91
f_0,1.0,0.87,1.16,1.19,0.95,0.94,1.85,1.43,2.32,2.38,2.33,4.11,3.03,2.57,4.26,2.83
h_0,0.96,1.46,1.12,1.02,0.76,0.81,1.12,2.3,1.74,2.08,2.56,2.08,1.91,2.9,2.65,3.29
a_0,1.13,1.03,1.08,1.18,1.02,,1.95,2.23,2.38,2.56,1.78,2.16,2.62,4.62,2.27,3.37
e_0,0.58,1.49,1.23,1.15,0.96,0.86,2.34,1.78,2.32,2.53,2.31,1.64,3.28,1.92,4.77,2.7
g_0,0.91,0.96,1.39,1.06,1.06,0.84,1.49,1.54,2.2,1.84,2.67,2.8,2.69,2.23,2.74,1.84
