,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.45,0.86,0.93,0.76,0.61,0.4,0.47,0.38,0.33,0.38,0.46,0.31,0.32,0.29,0.23
e_1,0.69,1.0,1.02,0.98,0.96,0.87,0.42,0.45,0.64,0.47,0.44,0.42,0.32,0.35,0.33,0.27
d_1,1.16,0.98,1.0,0.92,0.9,0.71,0.56,0.4,0.49,0.55,0.45,0.39,0.38,0.33,0.23,0.32
c_1,1.07,1.02,1.08,1.0,1.17,0.88,0.54,0.44,0.32,0.41,0.35,0.44,0.36,0.4,0.32,0.29
b_1,1.31,1.04,1.11,0.86,1.0,1.09,0.69,0.49,0.45,0.53,0.4,0.4,0.45,0.28,0.44,0.41
a_1,1.64,1.15,1.42,1.14,0.92,1.0,0.74,0.63,0.56,0.58,0.58,0.56,0.6,0.6,0.36,0.38
h_1,2.69,2.34,1.79,1.82,1.52,1.27,1.0,0.97,0.94,0.8,0.85,0.65,0.74,0.64,0.96,0.68
g_1,2.11,2.07,2.45,2.23,1.97,1.56,1.04,1.0,1.02,0.92,0.82,1.06,0.65,0.83,0.73,0.64
d_0,2.79,1.46,2.08,3.19,2.06,1.7,1.13,0.97,1.0,0.82,0.95,0.76,0.75,0.65,0.71,0.82
c_0,3.48,2.18,1.81,2.44,1.9,1.85,1.19,1.1,1.09,1.0,1.42,0.73,1.0,0.93,0.93,0.8
b_0,2.83,2.23,2.25,3.06,2.22,1.71,1.22,1.19,0.98,0.7,1.0,0.82,0.85,1.04,0.8,0.81
f_0,2.02,2.43,2.69,2.28,2.49,1.87,1.5,0.88,1.31,1.38,1.14,1.0,0.92,0.88,0.79,1.15
h_0,3.37,3.05,2.62,2.85,2.15,1.7,1.37,1.55,1.35,0.99,1.13,1.02,1.0,0.9,1.02,0.79
a_0,3.36,2.68,3.09,2.48,3.32,1.93,1.53,1.19,1.56,1.02,0.97,1.19,1.13,1.0,0.99,1.03
g_0,3.37,2.91,4.17,3.25,2.39,2.6,1.03,1.32,1.45,1.04,1.28,1.22,0.98,0.97,1.0,0.91
e_0,4.45,3.36,3.14,3.43,2.55,2.11,1.45,1.64,1.25,1.2,1.31,0.84,1.32,1.0,1.07,1.0
