,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.48,0.2,0.27,0.19,0.13,0.13,0.17,0.17,0.21,0.2,0.15,,0.19,0.14,0.14,0.21
d_1,0.17,1.5,0.15,0.18,0.14,0.13,0.17,0.17,0.34,,0.22,0.17,0.26,0.17,0.16,0.16
e_1,0.16,0.15,1.51,0.17,0.15,0.13,0.19,0.17,0.19,0.32,0.19,0.18,0.22,0.16,,0.23
c_1,0.16,0.15,0.15,1.56,0.27,0.16,0.17,0.2,,0.19,0.21,0.2,0.21,0.15,0.16,0.27
b_1,0.16,0.18,0.17,0.12,1.61,0.26,0.24,0.11,0.22,0.22,,0.25,0.24,0.2,0.16,0.19
a_1,0.17,0.2,0.17,0.17,0.13,1.75,0.24,0.25,0.22,0.2,0.21,0.24,0.3,,,
h_1,0.55,0.41,0.37,0.43,0.31,0.22,1.65,0.55,0.47,0.44,0.43,0.33,,0.35,0.44,0.55
g_1,0.42,0.54,0.42,0.37,0.53,0.26,0.49,1.71,0.43,0.27,0.44,0.58,0.44,0.43,0.29,
c_0,0.5,0.42,0.44,,0.36,0.45,0.47,0.47,1.43,0.58,0.75,0.45,0.74,0.62,0.43,0.49
d_0,0.51,,0.44,0.71,0.38,0.36,0.59,0.47,0.48,1.46,0.52,0.49,0.68,0.38,0.54,0.52
b_0,0.55,0.45,0.59,0.4,,0.33,0.62,0.56,0.5,0.54,1.46,0.57,0.55,0.8,0.41,0.46
f_0,,0.48,0.42,0.5,0.34,0.31,0.72,0.55,0.65,0.51,0.47,1.47,0.76,0.53,0.82,0.53
h_0,0.82,0.5,0.55,0.55,0.62,0.41,,0.8,0.61,0.73,0.82,0.53,,0.52,0.64,0.86
a_0,0.61,0.44,0.64,0.43,0.37,,0.6,0.38,0.43,0.7,0.4,0.59,0.7,1.6,,0.66
e_0,0.5,0.59,,0.51,0.45,,0.64,0.64,0.46,0.54,0.57,0.5,0.59,,1.66,
g_0,0.52,0.96,0.34,0.42,0.72,,0.71,,0.94,0.63,0.77,1.02,0.78,0.56,,
