,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.45,2.22,4.22,4.59,4.5,4.74,1.42,1.37,1.1,0.81,0.9,1.11,0.64,0.9,0.91,4.2
f_1,4.19,0.45,3.93,5.14,3.62,4.61,0.74,1.24,0.96,0.77,0.8,4.42,0.41,0.86,0.49,0.87
d_1,4.6,4.73,0.42,5.05,4.19,4.09,1.35,0.79,4.19,0.95,0.86,0.83,0.59,1.09,0.43,0.88
c_1,4.48,5.47,5.09,0.42,5.25,4.3,1.32,1.29,0.46,3.05,0.83,0.82,0.66,0.73,0.68,0.85
b_1,4.8,5.75,6.31,2.46,0.38,5.02,1.78,1.72,0.89,1.29,6.03,1.13,0.69,1.22,0.91,0.95
a_1,7.31,5.65,5.05,7.59,3.42,0.32,2.53,1.7,1.29,1.43,1.89,1.28,1.04,,0.99,1.25
h_1,4.9,5.6,4.36,4.76,5.41,4.7,0.35,1.35,1.1,0.98,0.86,1.08,2.64,1.02,0.87,0.74
g_1,5.75,6.63,5.33,5.71,4.85,5.4,1.14,0.33,1.4,1.21,0.98,1.01,0.68,1.23,1.44,1.16
d_0,2.84,6.77,18.43,4.89,7.94,5.73,1.5,2.12,0.46,1.06,1.21,1.0,1.18,0.94,1.16,0.81
c_0,5.46,6.04,2.97,15.95,5.97,5.71,1.73,2.58,1.35,0.43,1.34,1.06,1.11,1.03,1.03,1.03
b_0,5.87,5.17,5.56,9.82,21.7,6.14,1.46,1.74,1.14,0.57,0.41,1.15,0.81,1.11,0.62,1.07
f_0,5.46,25.51,5.67,4.99,5.55,4.54,1.94,1.08,1.59,1.62,1.21,0.39,0.82,1.56,0.63,1.09
h_0,7.66,7.55,5.67,6.78,6.77,6.15,4.15,1.96,1.48,1.27,1.37,1.26,3.5,1.23,1.03,1.07
a_0,6.76,7.51,6.49,8.45,8.52,,2.17,2.29,1.18,1.39,0.67,1.42,1.11,0.35,0.98,1.14
g_0,6.34,8.91,7.38,9.05,12.77,8.1,2.17,3.64,1.86,1.37,1.26,1.3,0.66,1.32,1.88,1.1
e_0,17.51,8.49,7.77,6.16,7.4,8.86,2.37,2.47,1.59,1.17,1.64,0.64,1.1,1.9,0.78,0.34
