,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.4,1.93,1.14,1.28,1.05,1.03,2.11,2.35,2.4,2.51,2.7,1.7,3.08,1.69,2.56,3.22
e_1,1.13,2.45,1.19,1.49,1.1,1.25,2.5,2.55,2.32,4.5,3.0,3.35,3.33,2.38,2.89,3.56
d_1,1.29,1.13,2.47,1.06,1.34,1.24,2.36,2.01,4.42,1.68,2.92,2.78,3.22,3.03,2.56,3.09
c_1,1.23,1.09,1.24,2.68,2.06,1.2,2.23,2.37,1.49,2.23,2.27,2.35,3.02,2.5,2.46,3.06
b_1,1.44,1.13,1.32,0.93,2.71,1.9,2.3,2.29,2.56,2.69,1.84,2.76,3.62,2.6,2.33,3.05
a_1,1.46,1.01,1.31,1.31,1.06,3.43,2.8,2.23,3.14,2.65,2.99,2.4,3.5,3.47,2.35,3.36
h_1,1.73,1.24,1.34,1.42,1.38,1.23,4.04,2.91,2.54,2.56,2.6,3.04,2.8,2.48,3.2,5.13
g_1,1.16,1.16,1.88,1.29,1.32,1.37,2.54,4.41,2.46,2.56,3.04,4.19,3.3,2.86,2.97,2.8
c_0,1.52,1.57,1.18,1.23,1.06,1.27,2.74,2.91,4.02,3.58,5.46,3.35,4.14,3.48,3.64,3.9
d_0,1.37,1.17,1.08,2.36,1.31,1.14,2.77,2.78,1.87,4.12,2.82,2.73,3.72,3.43,3.03,3.9
b_0,1.38,1.36,1.28,1.68,1.11,1.18,2.98,2.86,2.33,3.22,4.22,3.06,4.3,3.34,5.94,4.02
f_0,1.08,1.01,1.57,1.65,1.38,1.34,2.54,2.38,3.11,3.13,3.27,4.3,4.36,5.97,3.41,3.4
h_0,1.64,1.5,1.42,1.63,1.05,1.22,2.1,3.32,2.99,2.91,2.89,2.79,2.92,2.45,3.13,4.28
e_0,1.87,1.06,1.37,1.39,1.36,1.41,3.14,2.65,2.83,2.48,3.1,2.07,4.66,5.08,3.52,3.97
a_0,1.42,1.25,1.5,1.48,1.39,0.94,2.85,2.86,3.27,2.79,2.59,3.04,4.12,3.3,4.96,4.6
g_0,1.15,1.28,1.92,1.46,1.21,1.3,2.06,2.41,3.06,2.58,3.31,4.12,3.99,3.38,3.17,2.83
