,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.38,0.77,0.67,1.03,0.62,0.59,0.96,0.81,0.82,2.24,0.93,0.92,0.99,0.9,0.74,1.07
f_1,1.91,10.93,0.55,0.72,0.59,0.66,0.84,0.7,0.76,0.92,0.89,0.55,0.93,0.89,0.59,0.79
d_1,0.63,0.7,13.47,0.47,0.63,0.72,1.06,2.84,0.99,0.65,1.24,1.05,1.1,1.15,1.21,1.1
c_1,0.61,0.6,0.72,13.03,1.78,0.76,0.79,0.52,0.91,0.78,0.75,1.0,0.87,0.73,0.91,0.92
b_1,0.52,0.7,0.75,0.81,14.05,1.94,0.87,0.77,0.95,0.79,0.58,0.93,0.98,0.67,0.87,0.91
a_1,0.67,0.72,0.74,0.69,0.66,16.96,1.21,0.9,1.18,0.74,1.03,1.24,1.14,0.8,1.27,0.96
h_1,0.61,1.33,0.91,0.67,0.75,0.63,3.21,1.0,1.3,0.94,1.05,1.18,0.71,1.16,1.21,1.62
c_0,0.68,0.94,0.94,0.59,0.64,0.71,1.28,2.26,1.28,1.17,3.53,1.24,1.35,1.65,1.23,1.26
g_1,0.58,0.66,1.86,0.59,0.87,0.85,0.92,1.27,3.84,0.8,1.04,1.55,0.95,1.18,1.16,0.7
d_0,0.69,0.8,0.51,2.14,0.99,0.68,0.94,0.65,1.07,1.67,1.06,1.1,1.11,1.03,1.02,1.13
b_0,0.88,0.91,0.98,0.84,0.6,0.41,1.12,1.09,1.02,0.96,2.34,1.17,1.04,3.34,1.22,1.16
f_0,0.5,0.55,0.9,0.96,0.92,0.88,1.21,1.17,1.14,1.29,1.17,2.57,1.13,1.34,3.26,1.17
h_0,0.82,1.17,0.83,0.73,0.81,0.71,0.61,0.93,1.36,1.03,1.19,0.92,0.76,1.09,1.06,1.38
a_0,0.7,0.95,1.03,0.95,0.86,0.35,1.18,1.24,1.13,1.08,0.98,1.15,1.31,3.01,1.1,1.03
e_0,0.56,1.34,0.69,0.78,0.78,0.86,1.24,1.26,1.06,1.0,1.23,1.23,1.23,1.29,3.13,1.28
g_0,0.56,0.68,1.57,0.85,0.76,0.68,0.98,1.13,0.84,0.89,1.29,2.12,1.01,1.11,1.22,0.75
