,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,105.99,74.36,79.16,118.78,173.63,548.47,10605.75,17990.78,38060.42,27083.72,36208.91,53354.07,94472.52,124400.76,256325.44,235139.55
f_1,91.08,110.84,90.54,103.65,163.77,569.98,10002.52,15766.24,25597.56,23297.08,33981.0,33874.92,91418.52,103634.48,264490.24,167132.08
d_1,68.58,75.83,130.03,88.51,156.04,564.9,9898.56,14168.14,18826.5,36317.52,36867.13,39809.59,83717.16,110774.67,209643.07,191863.17
c_1,60.68,70.48,82.66,142.17,237.6,497.99,8908.99,14019.23,19659.14,17993.55,24196.4,36160.66,84373.73,101336.11,215077.24,205505.6
b_1,49.11,57.46,71.15,66.58,224.67,740.05,6767.91,11645.05,16561.16,20461.88,21402.35,30968.37,61305.86,88198.48,176165.91,167243.99
a_1,34.79,40.07,48.4,57.29,73.89,602.56,5913.43,8790.0,12957.55,12814.68,20070.67,21789.95,41627.77,64928.75,126171.16,129141.65
h_1,17.59,21.64,22.43,26.91,47.55,119.28,3254.81,4893.36,5860.78,6396.83,8677.78,10492.33,23474.71,25787.11,72680.91,58649.93
g_1,13.45,13.78,25.39,21.77,35.68,130.18,2078.14,4727.3,4156.24,5748.46,6839.61,12333.56,18400.22,23174.71,50248.97,55447.99
d_0,11.07,14.17,16.39,28.44,34.97,112.93,1970.81,3396.96,5683.8,3774.47,6295.6,9163.67,16197.52,22456.63,49088.25,49859.48
c_0,12.73,16.51,16.66,19.0,29.6,119.76,1866.62,3315.32,4944.37,6091.55,10026.4,9288.61,20510.17,23796.44,46372.02,42200.26
b_0,11.42,14.39,15.67,20.22,25.17,96.85,1705.67,2941.37,4248.8,4060.49,7611.93,7948.08,26180.59,21546.5,47216.12,41356.61
f_0,9.14,11.97,16.92,17.93,28.07,101.15,1802.54,2682.49,3944.09,4296.32,5491.68,9028.27,15651.31,20345.5,36853.97,61436.14
a_0,8.49,9.69,13.62,13.05,23.42,54.0,1355.26,2025.3,2964.16,3153.9,4171.64,5945.0,15462.29,14445.47,35894.41,29977.16
h_0,8.49,11.65,12.12,12.62,21.36,68.7,1115.99,2155.63,2842.42,2875.85,4082.68,4879.45,12206.58,12628.49,36910.64,25661.34
g_0,6.27,7.09,11.38,9.59,16.94,56.32,918.59,1527.27,2279.36,2662.48,3327.47,5506.99,8876.02,10946.08,22067.42,22785.16
e_0,5.48,8.07,9.32,10.36,18.01,60.18,1044.2,1515.63,2259.95,2586.14,3094.76,3607.02,8658.98,9720.11,26284.12,29589.01
