,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,1.16,0.85,0.99,1.01,1.14,1.43,1.06,1.05,1.09,1.16,1.02,1.13,1.57,1.14
f_1,1.27,1.0,1.06,1.09,0.82,0.83,0.8,0.89,0.86,1.16,0.96,0.94,0.87,1.1,0.7,1.06
c_1,0.86,0.95,1.0,1.08,1.44,0.92,1.01,0.74,0.74,0.95,0.75,0.93,0.99,0.95,0.96,1.06
d_1,1.18,0.91,0.94,1.0,1.12,0.87,0.95,1.02,1.3,0.82,1.05,1.03,1.01,0.85,0.94,0.79
b_1,1.02,1.24,0.69,0.9,1.0,1.67,1.04,0.97,1.27,1.12,0.93,0.92,1.04,0.92,0.91,0.93
a_1,0.99,1.2,1.1,1.14,0.61,1.0,1.23,1.06,0.85,0.97,1.18,1.06,1.08,0.91,1.21,1.09
h_1,0.9,1.17,1.0,1.04,0.94,0.8,1.0,0.95,0.97,1.29,0.99,0.94,1.04,0.9,1.01,1.13
d_0,0.69,1.1,1.39,1.01,1.05,1.0,1.03,1.0,0.86,1.0,1.04,1.01,1.11,0.88,1.07,1.26
c_0,0.94,1.18,1.27,0.74,0.74,1.14,1.04,1.11,1.0,1.0,1.3,0.96,1.2,1.17,1.09,1.04
g_1,0.96,0.87,1.1,1.21,0.87,1.01,0.79,0.99,1.0,1.0,1.02,1.19,0.9,0.81,0.95,0.82
b_0,0.93,1.07,1.33,0.91,1.09,0.83,0.98,1.01,0.74,0.98,1.0,0.92,0.99,1.46,0.99,1.01
f_0,0.84,1.07,1.06,1.0,1.12,0.9,1.09,0.97,0.98,0.82,1.06,1.0,1.14,1.09,1.43,0.78
h_0,0.9,1.18,1.05,0.98,0.96,0.94,0.98,0.91,0.82,1.12,0.99,0.91,1.0,0.85,0.99,1.22
a_0,0.89,0.91,0.95,1.17,1.13,1.05,1.19,1.09,0.86,1.2,0.7,0.98,1.2,1.0,0.98,1.01
e_0,0.66,1.44,1.01,1.07,1.11,0.86,1.0,0.89,0.92,0.98,1.04,0.7,1.03,1.06,1.0,0.97
g_0,0.86,0.92,0.96,1.31,1.08,0.95,0.92,0.78,0.92,1.27,1.01,1.2,0.78,1.03,1.14,1.0
