,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.41,1.86,4.19,5.18,3.75,3.68,2.33,1.73,1.75,1.3,1.86,2.36,1.36,,1.58,1.46
f_1,4.43,0.41,3.06,3.25,3.36,3.49,1.6,1.77,2.21,1.88,,1.12,1.03,2.17,1.5,1.47
d_1,3.59,3.73,0.4,3.56,3.5,2.96,2.0,,1.53,1.91,1.41,1.8,1.23,2.35,1.78,0.88
c_1,2.96,5.17,3.79,0.4,4.4,3.36,1.62,0.96,1.56,,1.88,1.79,1.55,1.58,1.57,1.5
b_1,4.03,4.8,3.62,2.09,0.37,4.99,2.02,1.63,2.03,1.89,1.49,,1.43,1.76,1.29,1.22
a_1,3.39,3.65,4.28,4.1,2.33,0.31,2.07,1.59,1.99,1.9,1.12,2.36,1.46,,,1.33
h_1,1.59,1.98,1.72,1.84,1.65,1.95,0.26,0.83,1.1,0.69,0.93,0.84,,0.79,0.71,0.81
d_0,1.06,1.89,,2.2,1.58,1.59,0.88,0.3,1.1,0.71,0.71,0.66,0.48,0.66,0.76,0.6
g_1,2.17,1.81,1.82,2.55,1.93,1.99,0.74,0.71,0.24,0.86,1.04,0.8,0.55,0.79,0.74,
c_0,1.95,1.24,0.97,,1.62,2.04,0.98,0.92,0.8,0.29,0.96,0.81,0.57,0.66,0.66,0.55
f_0,1.86,,1.75,1.3,1.6,2.32,0.89,0.71,0.51,0.62,0.27,0.83,0.62,1.02,1.0,0.46
b_0,1.24,2.1,1.6,1.65,,1.3,0.91,0.68,1.04,0.54,0.67,0.26,0.6,0.76,0.86,0.7
h_0,1.36,1.5,1.43,1.03,1.43,1.05,,0.67,0.8,0.54,0.6,0.6,,0.37,0.56,0.48
e_0,,1.66,1.41,1.66,1.41,,0.73,0.79,0.89,0.8,0.4,0.72,1.01,0.22,,0.75
a_0,2.15,1.73,2.05,1.66,1.89,,0.82,0.6,0.83,0.86,0.57,0.44,0.65,,0.23,0.63
g_0,1.52,1.47,1.65,1.25,1.38,1.52,0.49,0.73,,0.53,0.67,0.53,0.43,0.45,0.5,
