,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.42,0.83,1.35,1.54,1.35,1.08,0.76,0.64,0.54,0.78,0.61,0.62,0.56,1.52,0.65,0.64
f_1,1.46,0.42,1.2,1.14,1.24,1.29,0.53,0.76,0.62,0.55,0.88,0.61,0.42,0.53,0.57,0.53
d_1,1.54,1.34,0.4,1.32,1.39,1.17,0.72,0.47,0.61,1.2,0.64,0.6,0.48,0.52,0.33,0.42
c_1,1.1,1.38,1.37,0.39,1.68,1.34,0.74,0.82,0.85,0.35,0.5,0.53,0.48,0.46,0.51,0.56
b_1,1.27,1.49,1.3,0.8,0.36,1.4,0.7,0.9,0.67,0.57,0.59,1.11,0.54,0.64,0.47,0.7
a_1,1.82,1.42,1.26,1.31,0.85,0.32,0.78,0.64,0.56,0.52,0.6,0.64,0.42,0.64,0.55,1.16
h_1,0.92,1.12,0.96,0.94,0.92,0.86,0.26,0.64,0.46,0.45,0.41,0.43,0.56,0.39,0.41,0.44
g_1,0.92,0.96,1.11,0.96,0.86,0.96,0.38,0.23,0.41,0.44,0.51,0.41,0.3,0.38,0.47,0.46
c_0,1.05,0.93,0.62,2.41,0.94,0.99,0.54,0.52,0.27,0.52,0.55,0.54,0.41,0.4,0.38,0.54
d_0,0.53,1.08,1.52,1.18,1.02,1.15,0.52,0.62,0.47,0.28,0.42,0.46,0.34,0.47,0.39,0.49
f_0,0.81,1.82,0.94,1.1,0.85,1.0,0.52,0.35,0.37,0.42,0.25,0.42,0.36,0.47,0.27,0.4
b_0,0.8,0.9,0.87,1.13,1.93,1.09,0.52,0.49,0.27,0.46,0.4,0.24,0.4,0.52,0.4,0.49
h_0,0.86,1.01,0.92,0.91,0.96,0.99,0.94,0.68,0.42,0.51,0.48,0.45,0.59,0.42,0.4,0.46
e_0,1.35,1.26,1.02,1.04,0.77,1.04,0.5,0.55,0.34,0.4,0.24,0.36,0.39,0.21,0.27,0.45
g_0,0.82,1.04,1.04,0.92,1.01,0.91,0.46,0.81,0.41,0.43,0.43,0.4,0.29,0.51,0.48,0.41
a_0,0.86,1.07,1.27,0.97,0.86,1.66,0.49,0.49,0.37,0.45,0.39,0.24,0.35,0.49,0.42,0.2
