,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.09,1.5,2.47,2.42,2.55,2.31,0.63,0.67,0.54,0.5,0.57,0.48,0.46,0.33,0.77,0.37
f_1,2.34,1.09,2.4,2.22,2.39,2.02,0.52,0.73,0.49,0.44,0.57,0.47,0.45,0.25,0.41,0.34
c_1,2.16,2.63,1.09,3.45,2.33,2.16,0.78,0.73,0.32,0.68,0.53,0.59,0.58,0.35,0.5,0.34
d_1,3.08,3.05,2.83,1.08,2.63,2.27,0.7,0.47,0.83,0.48,0.53,0.5,0.55,0.36,0.41,0.24
b_1,2.68,2.93,1.71,3.25,1.1,2.54,0.9,0.9,0.61,0.76,0.59,0.9,0.61,0.45,0.56,0.43
a_1,4.84,5.73,4.35,4.96,2.49,1.13,1.35,1.38,1.14,1.09,0.9,1.47,1.22,0.86,0.98,0.73
h_1,8.57,9.36,8.68,8.59,9.02,6.72,1.51,2.72,1.88,1.72,1.74,1.83,1.59,1.64,1.51,1.23
g_1,10.8,11.26,11.73,10.29,12.31,10.4,2.56,1.57,2.46,1.75,2.21,1.98,2.16,1.29,1.92,1.63
d_0,7.36,10.6,11.33,16.46,10.67,10.77,3.82,4.25,1.81,2.6,2.23,2.98,2.69,1.57,2.81,1.93
c_0,15.88,16.53,19.62,8.8,14.76,14.0,4.75,3.68,4.24,1.84,2.85,2.64,2.63,2.08,2.44,2.18
f_0,14.03,18.86,15.41,15.64,14.08,12.3,4.22,2.75,3.27,2.86,1.87,3.12,2.64,2.34,3.19,1.46
b_0,16.51,16.68,17.73,12.25,18.54,13.28,4.01,3.74,3.43,1.6,2.71,1.76,2.82,2.05,2.47,2.09
a_0,19.12,18.67,21.13,16.04,22.53,19.57,5.6,4.9,4.14,2.86,3.18,2.13,1.97,2.49,3.31,2.45
h_0,18.46,18.2,20.74,17.75,19.62,18.38,6.99,5.22,4.96,3.83,3.98,4.38,3.74,3.45,3.38,2.75
e_0,27.55,30.53,21.13,18.37,18.89,17.33,6.72,5.63,5.22,4.22,2.33,4.83,3.52,3.14,2.28,2.61
g_0,22.57,23.86,27.02,23.41,22.69,21.16,5.83,7.89,5.74,5.09,5.37,5.28,5.25,2.71,5.24,4.16
