,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.46,1.91,0.48,0.6,0.57,0.6,0.89,0.75,0.84,0.99,0.85,0.47,0.94,0.75,0.73,0.86
e_1,0.78,12.8,0.54,0.93,0.54,0.61,0.93,0.79,0.8,2.16,0.96,0.93,0.89,0.97,0.64,1.02
d_1,0.68,0.56,14.84,0.44,0.62,0.74,0.84,2.73,1.04,0.59,1.43,1.17,1.12,1.18,1.15,1.01
c_1,0.57,0.46,0.64,15.52,1.9,0.5,0.75,0.33,0.87,0.68,0.6,0.89,0.93,0.92,1.0,1.0
b_1,0.58,0.53,0.76,0.54,14.56,1.78,1.01,0.82,0.82,0.82,0.47,0.99,0.91,0.65,0.83,0.93
a_1,0.75,0.56,0.74,0.77,0.54,20.46,1.38,0.95,0.85,1.12,1.03,1.02,1.04,0.59,0.85,1.04
h_1,1.29,0.68,0.83,0.75,0.6,0.71,3.42,0.95,1.4,0.78,1.18,0.99,0.73,1.26,0.99,1.49
c_0,0.99,0.74,0.94,0.54,0.55,0.62,0.97,2.55,1.42,1.15,3.49,1.37,1.32,1.59,1.36,1.11
g_1,0.5,0.64,1.92,0.77,0.71,0.65,0.86,1.21,4.5,0.67,0.97,2.04,1.1,0.94,1.09,0.78
d_0,0.73,0.75,0.54,2.2,0.68,0.57,1.14,0.69,0.98,2.06,1.1,0.85,1.3,1.19,1.01,0.97
b_0,0.92,0.8,0.89,0.94,0.48,0.45,1.14,1.23,1.29,1.01,2.91,1.19,1.24,3.48,1.24,1.02
f_0,0.53,0.52,0.92,0.9,0.85,0.73,1.17,1.4,1.22,0.9,1.32,2.99,1.35,1.76,3.62,1.14
h_0,1.2,0.76,0.97,0.87,0.62,0.52,0.71,1.12,1.45,0.9,0.98,1.08,0.71,0.94,1.37,1.48
a_0,0.98,0.61,0.86,1.09,0.84,0.32,1.09,1.03,1.17,0.96,1.38,1.26,1.17,3.12,1.69,0.95
e_0,0.79,0.42,0.96,0.96,0.79,0.57,1.25,1.23,1.53,0.97,1.35,1.29,1.45,1.43,4.0,1.33
g_0,0.58,0.58,1.61,0.8,0.62,0.63,1.0,1.09,0.94,0.92,1.33,2.33,1.15,1.27,1.6,0.72
