,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.42,0.79,0.5,0.95,0.94,0.82,0.48,0.49,0.42,0.35,0.41,0.45,0.41,0.6,0.43,0.38
d_1,0.88,0.41,0.87,0.78,0.81,0.76,0.42,0.31,0.49,0.37,0.37,0.33,0.29,0.34,0.35,0.21
f_1,1.01,0.73,0.4,0.84,0.71,0.68,0.33,0.48,0.42,0.34,0.33,0.45,0.21,0.33,0.33,0.35
c_1,0.64,1.01,0.82,0.38,1.06,0.72,0.47,0.42,0.23,0.46,0.32,0.35,0.34,0.33,0.35,0.28
b_1,0.77,0.83,1.04,0.48,0.36,1.11,0.44,0.46,0.38,0.48,0.62,0.36,0.33,0.41,0.32,0.34
a_1,0.93,0.82,0.97,0.87,0.44,0.31,0.48,0.44,0.36,0.4,0.45,0.42,0.3,0.36,0.74,0.34
h_1,0.69,0.72,0.78,0.74,0.7,0.64,0.24,0.43,0.33,0.32,0.31,0.35,0.39,0.34,0.33,0.27
g_1,0.67,0.74,0.84,0.72,0.74,0.7,0.31,0.24,0.33,0.33,0.35,0.38,0.21,0.31,0.33,0.33
d_0,0.48,1.13,0.71,0.85,0.72,0.76,0.45,0.42,0.25,0.37,0.3,0.32,0.28,0.29,0.3,0.29
c_0,0.79,0.47,0.79,1.27,0.7,0.66,0.4,0.4,0.44,0.24,0.38,0.35,0.29,0.35,0.36,0.31
b_0,0.74,0.59,0.72,0.89,0.85,0.62,0.43,0.4,0.44,0.22,0.23,0.36,0.27,0.32,0.34,0.29
f_0,0.58,0.7,1.38,0.75,0.75,0.73,0.39,0.26,0.33,0.33,0.34,0.23,0.28,0.41,0.28,0.21
h_0,0.64,0.67,0.95,0.68,0.68,0.65,0.47,0.45,0.32,0.29,0.31,0.3,0.37,0.29,0.27,0.26
e_0,0.72,0.7,1.1,0.86,0.73,0.62,0.36,0.38,0.32,0.31,0.31,0.19,0.25,0.2,0.31,0.23
a_0,0.64,0.65,0.71,0.96,1.17,0.75,0.41,0.4,0.4,0.24,0.19,0.35,0.29,0.28,0.19,0.27
g_0,0.64,0.77,0.7,0.86,0.72,0.66,0.31,0.45,0.31,0.35,0.34,0.31,0.24,0.3,0.28,0.35
