,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.33,0.6,0.7,0.45,0.44,0.47,1.14,2.3,1.35,0.93,1.27,1.26,1.3,1.09,0.68,1.26
f_1,0.99,2.38,0.52,0.62,0.43,0.37,0.91,1.03,1.11,0.88,1.05,0.53,1.44,1.07,0.58,1.33
c_1,0.5,0.52,2.39,0.54,1.02,0.39,0.94,1.13,0.43,0.79,0.72,1.16,1.39,0.96,0.9,1.35
d_1,0.64,0.54,0.48,2.4,0.61,0.41,0.99,0.55,2.09,1.01,1.31,1.15,1.45,0.78,0.91,1.22
b_1,0.5,0.67,0.54,0.56,2.58,0.89,1.01,0.97,1.29,0.87,0.42,1.02,1.32,0.72,0.83,1.21
a_1,0.58,0.65,0.56,0.67,0.39,2.96,1.28,1.28,1.01,0.88,1.15,1.24,1.47,0.45,1.22,1.27
h_1,0.66,0.96,0.7,0.75,0.57,0.46,3.09,1.32,1.43,1.61,1.23,1.32,1.11,1.0,1.37,2.12
d_0,0.68,0.71,1.34,0.41,0.61,0.56,1.16,2.65,1.12,1.06,1.46,1.5,1.88,1.05,1.3,1.66
c_0,0.76,0.91,0.51,0.75,0.36,0.59,1.3,1.5,2.7,1.14,2.87,1.21,2.04,1.5,1.45,1.74
g_1,0.66,0.5,0.72,1.2,0.5,0.56,1.18,1.26,1.47,3.35,1.42,2.05,1.65,0.91,1.2,0.92
b_0,0.72,0.73,0.83,0.77,0.37,0.41,1.42,1.53,1.64,1.21,3.03,1.33,1.87,2.47,1.28,1.75
f_0,0.57,0.48,0.85,0.72,0.73,0.53,1.34,1.67,1.4,1.31,1.46,2.92,1.74,1.14,2.48,1.58
h_0,0.62,1.01,0.81,0.74,0.62,0.53,0.79,1.38,1.31,1.42,1.49,1.19,1.27,1.26,1.19,2.15
a_0,0.7,0.74,0.75,0.77,0.66,0.34,1.41,1.52,1.33,1.38,1.36,1.44,2.45,3.06,1.14,1.72
e_0,0.36,0.87,0.72,0.75,0.69,0.54,1.64,1.35,1.66,1.21,1.56,1.46,1.89,1.3,3.2,1.75
g_0,0.54,0.64,0.72,1.07,0.69,0.48,1.38,1.1,1.45,0.96,1.37,2.13,1.41,1.43,1.55,1.34
