,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.51,0.89,0.78,1.06,0.85,0.69,0.99,1.61,0.97,0.99,1.1,1.1,1.23,0.95,0.77,0.99
f_1,1.35,1.52,0.81,0.87,0.72,0.64,1.0,1.12,1.0,0.9,1.04,0.75,0.94,0.82,0.65,1.09
d_1,0.97,0.99,1.57,0.66,0.83,0.74,1.08,0.78,1.65,0.87,1.16,1.06,1.16,0.96,0.88,0.98
c_1,0.79,0.88,0.95,1.6,1.39,0.78,0.99,0.96,0.69,0.84,0.87,0.94,1.09,0.77,0.88,1.05
b_1,0.88,0.97,0.91,0.79,1.64,1.37,1.07,1.08,1.14,1.16,0.92,1.13,1.12,0.78,0.96,0.98
a_1,1.05,1.23,0.94,0.97,0.72,1.74,1.24,1.28,1.05,0.8,1.14,0.98,1.24,0.81,1.06,1.27
h_1,1.09,1.43,1.21,1.05,0.95,0.78,1.81,1.27,1.39,1.49,1.28,1.28,1.21,1.19,0.97,1.59
d_0,1.06,1.24,0.96,1.74,1.12,0.9,1.23,1.7,1.07,1.21,1.17,1.25,1.5,1.1,1.1,1.36
c_0,1.29,1.42,1.08,0.96,0.98,1.0,1.48,1.37,1.76,1.27,2.04,1.3,1.44,1.38,1.15,1.42
g_1,1.02,1.1,1.75,1.11,0.84,1.07,1.25,1.2,1.33,1.93,1.23,1.71,1.28,0.96,1.38,1.2
b_0,1.27,1.23,1.22,1.27,0.85,0.85,1.46,1.42,1.29,1.33,1.77,1.34,1.54,2.0,1.16,1.41
f_0,0.99,1.12,1.34,1.33,0.99,1.06,1.38,1.45,1.51,1.24,1.46,1.85,1.64,1.25,2.05,1.3
h_0,1.25,1.57,1.22,1.24,1.17,0.93,1.39,1.41,1.44,1.76,1.42,1.39,1.33,1.17,1.24,1.74
a_0,1.39,1.39,1.34,1.19,1.11,0.66,1.57,1.34,1.39,1.54,1.22,1.55,1.75,1.88,1.12,1.48
e_0,1.07,1.55,1.34,1.16,1.2,1.01,1.75,1.5,1.62,1.33,1.74,1.33,1.55,1.37,1.93,1.47
g_0,1.22,1.12,1.69,1.19,1.18,0.89,1.34,1.24,1.51,1.16,1.49,1.95,1.48,1.5,1.42,1.3
