,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,1.71,2.04,1.72,1.75,1.91,0.39,0.43,0.69,0.41,0.36,1.01,0.2,0.39,0.49,0.32
e_1,1.08,0.44,1.99,2.24,2.32,2.4,0.63,0.51,0.68,0.46,0.4,0.5,0.29,0.44,1.39,0.34
c_1,2.41,1.75,0.42,2.46,2.14,1.97,0.58,0.22,0.54,0.67,0.38,0.35,0.33,0.37,0.34,0.27
d_1,2.55,2.38,2.21,0.41,1.91,1.97,0.56,0.88,0.38,0.38,0.46,0.4,0.31,0.44,0.29,0.2
b_1,2.4,2.71,1.23,2.56,0.39,2.17,0.83,0.57,0.58,0.55,1.3,0.42,0.38,0.49,0.45,0.35
a_1,3.31,2.6,3.01,2.63,1.42,0.33,1.0,0.63,0.96,0.73,0.77,0.78,0.39,1.9,0.55,0.4
h_1,3.2,2.99,3.74,3.53,2.9,2.99,0.34,0.74,1.04,0.61,0.66,0.62,0.65,0.67,0.73,0.47
d_0,4.12,1.85,4.3,5.8,4.87,3.49,1.11,0.4,1.44,0.76,0.75,0.73,0.66,0.74,0.81,0.61
g_1,4.53,3.73,4.42,3.19,4.19,3.74,0.83,0.79,0.3,0.75,0.77,0.71,0.42,0.84,0.63,0.77
c_0,3.73,3.54,9.13,2.01,4.67,3.84,0.96,0.95,1.34,0.37,0.93,0.89,0.69,0.78,0.71,0.65
b_0,4.07,3.96,4.47,3.08,10.51,4.31,0.94,0.78,1.05,0.39,0.36,0.8,0.51,1.09,0.83,0.62
f_0,10.31,3.61,4.63,4.85,3.96,3.31,1.42,0.87,0.62,1.07,0.79,0.34,0.66,0.94,0.95,0.35
h_0,5.61,4.76,4.51,3.69,4.46,4.1,1.95,0.91,1.25,0.82,0.86,0.72,1.3,0.82,0.68,0.71
a_0,5.03,4.84,4.53,4.33,6.29,8.09,1.45,0.94,1.02,0.82,0.45,0.61,0.63,0.33,0.91,0.68
e_0,6.5,6.24,7.29,5.17,6.52,3.65,1.35,0.9,1.37,0.92,0.91,0.37,0.61,0.92,0.33,0.61
g_0,4.74,5.49,5.11,4.58,4.5,5.37,1.13,1.14,2.36,1.3,1.12,1.2,0.54,1.02,1.15,1.2
