,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.92,1.36,2.01,1.82,4.63,26.99,47.03,39.79,34.45,46.61,55.85,92.6,164.72,151.92,204.27
f_1,1.1,1.0,1.18,1.3,1.66,3.13,17.46,25.93,32.47,28.51,43.47,38.52,65.91,83.15,118.35,141.15
d_1,0.73,0.85,1.0,0.99,1.23,2.62,17.18,25.5,21.09,32.86,35.59,41.98,61.15,98.33,87.88,93.81
c_1,0.5,0.77,1.0,1.0,1.69,2.81,16.01,12.54,25.63,19.78,32.63,39.09,57.7,67.6,79.72,100.3
b_1,0.56,0.6,0.81,0.6,1.0,3.72,13.53,17.59,21.58,20.01,31.85,35.37,63.54,65.7,82.3,99.99
a_1,0.22,0.32,0.38,0.35,0.27,1.0,6.6,8.33,8.21,11.45,13.98,13.27,22.58,33.51,33.98,51.63
h_1,0.04,0.06,0.06,0.06,0.07,0.15,1.0,1.34,1.85,1.41,1.99,1.91,3.82,4.81,5.32,7.44
d_0,0.02,0.04,0.04,0.08,0.06,0.13,0.78,1.0,1.19,1.2,1.49,1.91,2.69,3.45,4.41,5.97
g_1,0.03,0.03,0.05,0.04,0.05,0.12,0.54,0.82,1.0,1.0,1.35,1.89,2.1,3.81,3.98,4.28
c_0,0.03,0.03,0.03,0.05,0.05,0.09,0.73,0.81,0.95,1.0,1.86,1.52,2.32,3.54,3.92,4.48
b_0,0.02,0.02,0.03,0.03,0.03,0.08,0.49,0.69,0.77,0.56,1.0,1.14,1.84,2.73,3.97,3.54
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.51,0.52,0.54,0.7,0.91,1.0,1.6,2.87,2.19,2.58
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.25,0.35,0.47,0.42,0.58,0.63,1.0,1.5,1.35,2.4
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.26,0.26,0.32,0.39,0.37,0.68,1.0,1.01,1.39
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.22,0.26,0.25,0.25,0.46,0.72,1.07,1.0,1.26
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.16,0.24,0.22,0.3,0.42,0.42,0.73,0.8,1.0
