,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.18,0.06,0.03,0.02,0.03,0.02,0.07,0.07,0.06,0.05,0.04,,0.07,,0.04,0.06
e_1,0.03,2.2,0.03,0.03,0.02,0.03,0.05,0.11,0.05,0.04,0.07,0.06,0.08,,0.05,0.07
c_1,0.03,0.03,2.36,0.03,0.05,0.02,0.05,0.07,,0.05,0.05,0.06,0.09,0.06,0.05,0.05
d_1,0.04,0.03,0.02,2.4,0.03,0.02,0.04,,0.11,0.05,0.06,0.06,0.09,0.05,0.05,0.06
b_1,0.04,0.02,0.03,0.03,2.52,0.05,0.07,0.06,0.06,0.03,,0.06,0.09,0.06,,0.04
a_1,0.03,0.02,0.02,0.02,0.03,2.98,0.07,0.08,0.07,0.06,,0.06,0.07,,,0.07
h_1,0.17,0.11,0.08,0.11,0.09,0.07,2.75,0.25,0.19,0.25,0.24,0.26,,0.17,0.17,0.32
d_0,0.13,0.17,0.31,,0.11,0.1,0.24,1.94,0.32,0.2,0.33,0.24,0.43,0.33,0.18,0.28
c_0,0.1,0.17,,0.14,0.13,0.11,0.4,0.32,2.07,0.27,0.44,0.29,0.39,0.17,0.23,0.39
g_1,0.1,0.08,0.11,0.18,0.09,0.08,0.12,0.22,0.31,3.11,0.2,0.33,0.31,,,
b_0,0.19,0.17,0.11,0.12,,,0.32,0.24,0.34,0.2,2.3,0.28,0.48,,0.44,0.37
f_0,,0.14,0.22,0.15,0.14,0.08,0.31,0.37,0.24,0.18,0.29,2.25,0.34,0.67,,0.33
h_0,0.32,0.17,0.19,0.14,0.2,0.18,,0.58,0.64,0.51,0.59,0.24,,0.27,0.41,0.64
e_0,,,0.16,0.2,0.16,,0.19,0.55,0.31,,,0.32,0.35,2.6,,0.41
a_0,0.18,0.15,0.14,0.15,,,0.19,0.39,0.23,,0.37,,0.5,,2.79,
g_0,0.16,0.2,0.18,0.41,0.2,0.17,0.41,0.37,0.53,,0.36,0.73,0.53,0.32,,
