,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,1.37,2.2,2.21,2.04,1.92,1.12,1.15,0.73,0.9,0.83,0.75,0.81,0.63,1.63,0.72
f_1,2.25,0.66,2.03,2.31,1.91,2.18,0.78,1.02,0.72,0.63,0.64,1.45,0.77,0.45,0.74,0.61
d_1,2.45,2.19,0.65,1.84,2.06,1.91,0.98,0.68,0.86,2.23,0.8,0.77,0.7,0.62,0.61,0.46
c_1,1.89,2.37,2.47,0.65,2.67,1.89,0.87,0.73,1.14,0.49,0.75,0.76,0.58,0.62,1.01,0.55
b_1,2.66,2.36,2.17,1.31,0.64,2.37,1.01,1.02,0.94,0.85,2.44,0.76,0.88,0.77,0.67,0.66
a_1,2.75,2.47,2.7,2.7,1.65,0.57,1.3,1.61,1.03,0.93,1.11,0.94,1.46,0.81,0.71,0.78
h_1,2.24,2.84,2.42,2.81,2.71,2.1,0.6,1.1,0.99,0.94,1.04,0.9,0.82,1.16,0.91,0.92
g_1,2.42,3.26,3.13,3.53,3.0,2.12,1.23,0.56,0.98,1.18,1.04,1.13,1.08,0.65,0.88,1.01
c_0,3.16,3.08,1.77,7.57,2.88,2.99,1.35,1.49,0.66,1.36,1.08,1.12,1.13,0.78,0.82,0.92
d_0,1.84,3.1,5.13,3.58,3.11,2.76,1.4,1.41,1.18,0.66,1.16,1.13,0.87,0.76,0.86,0.91
b_0,2.64,3.59,2.55,4.24,3.47,2.55,1.18,1.37,0.67,1.16,0.63,0.99,1.25,0.93,0.87,0.9
f_0,3.37,5.28,2.92,2.89,3.22,2.6,1.5,0.91,1.03,1.1,1.06,0.62,1.15,0.96,1.35,0.58
a_0,3.23,2.98,3.81,4.28,3.61,6.37,1.7,1.51,0.96,1.7,0.67,1.41,0.59,0.91,0.96,1.45
h_0,2.96,4.18,3.52,3.98,2.98,2.95,2.25,1.63,1.16,1.56,1.05,1.29,1.26,1.86,0.95,1.05
e_0,5.16,4.38,3.84,3.15,3.12,3.39,1.7,1.57,1.4,1.58,1.45,0.72,1.39,1.39,0.6,0.81
g_0,3.43,4.17,3.69,4.18,3.69,3.3,1.3,2.87,1.19,1.47,1.17,1.38,1.01,0.88,1.13,1.6
