,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.08,1.43,1.74,1.46,1.17,0.56,0.52,0.43,0.57,0.43,0.56,0.35,0.35,0.43,0.32
f_1,1.67,1.04,1.42,1.62,1.36,1.06,0.47,0.46,0.42,0.6,0.46,0.48,0.28,0.37,0.33,0.38
d_1,1.78,1.78,1.04,1.53,1.5,1.41,0.56,0.57,0.53,0.41,0.46,0.44,0.35,0.41,0.38,0.25
c_1,1.47,1.66,2.3,1.05,1.9,1.52,0.68,0.36,0.64,0.63,0.46,0.47,0.37,0.38,0.46,0.38
b_1,1.99,2.23,1.96,1.21,1.06,1.98,0.76,0.58,0.7,0.83,0.72,0.6,0.43,0.5,0.48,0.42
a_1,2.51,2.81,2.31,2.21,1.33,1.06,1.07,0.79,0.72,0.79,0.81,0.67,0.61,0.83,0.63,0.58
h_1,4.61,4.38,4.17,4.42,3.8,2.97,1.24,1.38,1.25,1.61,1.28,1.22,1.02,1.09,0.96,0.94
d_0,3.75,4.62,6.09,5.44,5.03,3.99,2.03,1.36,1.51,2.01,1.46,1.56,1.22,1.34,1.43,1.36
c_0,6.0,5.7,3.53,6.42,4.54,4.39,1.9,1.92,1.31,1.7,1.63,1.43,1.12,1.47,1.32,1.04
g_1,5.09,5.3,5.48,5.01,4.29,4.9,1.68,1.6,1.52,1.24,1.57,1.55,0.93,1.16,1.34,1.18
b_0,5.34,5.58,4.67,6.28,5.69,4.59,2.13,1.76,1.18,1.97,1.34,1.53,1.21,1.71,1.26,1.13
f_0,5.57,6.72,5.55,6.14,4.82,5.27,2.08,1.76,1.74,1.54,1.68,1.32,1.23,1.34,1.53,0.85
h_0,7.02,8.29,7.06,7.27,7.1,6.0,3.2,2.09,2.36,2.71,2.15,1.98,1.86,1.84,1.82,1.6
a_0,7.76,7.96,7.83,8.75,8.37,6.29,2.78,2.5,1.96,3.23,1.52,2.3,1.95,1.45,1.81,1.52
e_0,9.92,10.98,8.11,7.5,6.38,6.38,3.69,2.58,2.48,2.31,2.6,1.55,1.81,2.11,1.46,1.5
g_0,8.82,8.03,8.85,8.01,7.81,6.2,2.69,2.5,2.46,3.15,2.5,2.69,1.56,2.12,2.27,1.86
